file,psys,pkg,cores,gpu,ram,duration_time,user_time,system_time,perf_time,lang,machine,cores,power_limit
1655552.exe ,  1.78,  0.52,  0.49,  0.00,  0.04,   73198394,   65897000,    6989000,   86754054, c++, elite, mult, 10
1655552.exe ,  1.69,  0.57,  0.55,  0.00,  0.04,   63855354,   58938000,    4911000,   77315700, c++, elite, mult, 10
1655552.exe ,  1.68,  0.60,  0.57,  0.00,  0.04,   61712514,   53742000,    7961000,   74203758, c++, elite, mult, 10
1655552.exe ,  1.76,  0.61,  0.58,  0.00,  0.04,   60851079,   53849000,    6980000,   73499478, c++, elite, mult, 10
1655552.exe ,  1.68,  0.61,  0.59,  0.00,  0.03,   61039107,   52975000,    7996000,   74126137, c++, elite, mult, 10
1655552.exe ,  1.67,  0.61,  0.59,  0.00,  0.04,   61392175,   55344000,    6037000,   74698680, c++, elite, mult, 10
1655552.exe ,  1.70,  0.60,  0.57,  0.00,  0.04,   62330874,   55268000,    7034000,   75003372, c++, elite, mult, 10
1655552.exe ,  1.70,  0.61,  0.58,  0.00,  0.04,   61142040,   55106000,    6011000,   73948069, c++, elite, mult, 10
1655552.exe ,  1.68,  0.61,  0.58,  0.00,  0.03,   60513727,   55478000,    4953000,   73893863, c++, elite, mult, 10
1655552.exe ,  1.78,  0.61,  0.58,  0.00,  0.04,   62082585,   59911000,    1997000,   75228589, c++, elite, mult, 10
174258.exe  ,  4.82,  1.77,  1.70,  0.00,  0.10,  178488823,  173459000,    5013000,  191552423, c++, elite, mult, 10
174258.exe  ,  4.85,  1.74,  1.68,  0.00,  0.09,  177075943,  173057000,    4001000,  189833199, c++, elite, mult, 10
174258.exe  ,  4.78,  1.74,  1.68,  0.00,  0.09,  177509618,  172495000,    5014000,  190414010, c++, elite, mult, 10
174258.exe  ,  4.91,  1.75,  1.69,  0.00,  0.10,  178677116,  171661000,    7027000,  191501728, c++, elite, mult, 10
174258.exe  ,  4.84,  1.77,  1.70,  0.00,  0.10,  179000248,  170992000,    7999000,  192587295, c++, elite, mult, 10
174258.exe  ,  4.77,  1.75,  1.68,  0.00,  0.10,  179349512,  169312000,   10018000,  192490090, c++, elite, mult, 10
174258.exe  ,  4.89,  1.75,  1.69,  0.00,  0.09,  178101901,  172078000,    6002000,  190815227, c++, elite, mult, 10
174258.exe  ,  4.86,  1.74,  1.67,  0.00,  0.10,  182987536,  174921000,    7996000,  198333223, c++, elite, mult, 10
174258.exe  ,  4.87,  1.70,  1.63,  0.00,  0.10,  181135752,  172168000,    8956000,  194857177, c++, elite, mult, 10
174258.exe  ,  4.78,  1.75,  1.68,  0.00,  0.10,  177738860,  171737000,    5990000,  190712538, c++, elite, mult, 10
1787832.exe ,  5.65,  1.92,  1.85,  0.00,  0.12,  201804856,  187653000,   14048000,  216779669, c++, elite, mult, 10
1787832.exe ,  5.49,  1.94,  1.86,  0.00,  0.12,  198873098,  186805000,   11987000,  211760058, c++, elite, mult, 10
1787832.exe ,  5.56,  1.95,  1.87,  0.00,  0.12,  199164246,  190148000,    9007000,  212292033, c++, elite, mult, 10
1787832.exe ,  5.50,  1.95,  1.87,  0.00,  0.12,  198448453,  185366000,   13025000,  211387199, c++, elite, mult, 10
1787832.exe ,  5.41,  1.97,  1.90,  0.00,  0.12,  199863414,  192854000,    6994000,  212613796, c++, elite, mult, 10
1787832.exe ,  5.60,  1.93,  1.85,  0.00,  0.12,  201025783,  190998000,    9999000,  213838733, c++, elite, mult, 10
1787832.exe ,  5.34,  1.97,  1.90,  0.00,  0.12,  199371513,  186339000,   13023000,  212010639, c++, elite, mult, 10
1787832.exe ,  5.64,  1.92,  1.84,  0.00,  0.12,  201125033,  186195000,   14935000,  215023684, c++, elite, mult, 10
1787832.exe ,  5.53,  1.95,  1.87,  0.00,  0.12,  198808086,  184806000,   13985000,  211569650, c++, elite, mult, 10
1787832.exe ,  5.54,  1.93,  1.85,  0.00,  0.12,  199827889,  185829000,   13987000,  212344353, c++, elite, mult, 10
1821852.exe ,  4.14,  1.50,  1.45,  0.00,  0.08,  152552828,  151403000,    1002000,  165295719, c++, elite, mult, 10
1821852.exe ,  4.06,  1.50,  1.44,  0.00,  0.08,  149567893,  148467000,     996000,  162331864, c++, elite, mult, 10
1821852.exe ,  4.08,  1.45,  1.39,  0.00,  0.08,  152804244,  151696000,     998000,  166155992, c++, elite, mult, 10
1821852.exe ,  4.14,  1.52,  1.46,  0.00,  0.08,  154023343,  153933000,          0,  166761190, c++, elite, mult, 10
1821852.exe ,  4.00,  1.47,  1.42,  0.00,  0.08,  147988261,  146982000,     999000,  160958609, c++, elite, mult, 10
1821852.exe ,  4.16,  1.53,  1.48,  0.00,  0.08,  155557751,  154552000,    1003000,  168159119, c++, elite, mult, 10
1821852.exe ,  4.06,  1.49,  1.44,  0.00,  0.08,  152318024,  151251000,     995000,  165341595, c++, elite, mult, 10
1821852.exe ,  4.29,  1.55,  1.49,  0.00,  0.08,  155675728,  154671000,     997000,  168630202, c++, elite, mult, 10
1821852.exe ,  3.96,  1.44,  1.39,  0.00,  0.08,  149229292,  148226000,    1001000,  162014605, c++, elite, mult, 10
1821852.exe ,  4.36,  1.60,  1.54,  0.00,  0.08,  161476860,  160464000,     996000,  174078996, c++, elite, mult, 10
1898852.exe ,  0.45,  0.16,  0.16,  0.00,  0.01,   16234870,   15226000,    1015000,   28990137, c++, elite, mult, 10
1898852.exe ,  0.46,  0.16,  0.15,  0.00,  0.01,   16732348,   15751000,     984000,   29325637, c++, elite, mult, 10
1898852.exe ,  0.44,  0.15,  0.15,  0.00,  0.01,   16265562,   15252000,    1016000,   28900522, c++, elite, mult, 10
1898852.exe ,  0.44,  0.16,  0.15,  0.00,  0.01,   16057207,   14056000,    2008000,   28680099, c++, elite, mult, 10
1898852.exe ,  0.46,  0.16,  0.15,  0.00,  0.01,   16676447,   14711000,    1961000,   29426554, c++, elite, mult, 10
1898852.exe ,  0.48,  0.17,  0.15,  0.00,  0.01,   16355621,   15393000,     962000,   29165732, c++, elite, mult, 10
1898852.exe ,  0.47,  0.16,  0.15,  0.00,  0.01,   16700588,   14735000,    1964000,   29508770, c++, elite, mult, 10
1898852.exe ,  0.46,  0.16,  0.15,  0.00,  0.01,   16550231,   15574000,     973000,   29391964, c++, elite, mult, 10
1898852.exe ,  0.47,  0.17,  0.16,  0.00,  0.01,   16184796,   13320000,    2854000,   28949310, c++, elite, mult, 10
1898852.exe ,  0.50,  0.16,  0.15,  0.00,  0.01,   16524415,   14582000,    1944000,   29384095, c++, elite, mult, 10
2048785.exe ,  4.19,  1.54,  1.49,  0.00,  0.08,  154939251,  152814000,    1997000,  167578330, c++, elite, mult, 10
