file,psys,pkg,cores,gpu,ram,duration_time,user_time,system_time,perf_time,lang,machine,cores,power_limit
1099920.exe ,  0.29,  0.10,  0.10,  0.00,  0.01,   10309692,    9987000,          0,   31484830, c++, elite, sing, 10
1099920.exe ,  0.28,  0.10,  0.10,  0.00,  0.01,   10015575,    8018000,    2004000,   22819874, c++, elite, sing, 10
1099920.exe ,  0.28,  0.10,  0.10,  0.00,  0.01,   10026432,    8010000,    2002000,   22631411, c++, elite, sing, 10
1099920.exe ,  0.30,  0.10,  0.10,  0.00,  0.01,   10149718,    9133000,    1014000,   22754247, c++, elite, sing, 10
1099920.exe ,  0.28,  0.10,  0.10,  0.00,  0.01,    9966528,    7974000,    1993000,   22401939, c++, elite, sing, 10
1099920.exe ,  0.29,  0.10,  0.10,  0.00,  0.01,   10086311,    9084000,    1009000,   22691656, c++, elite, sing, 10
1099920.exe ,  0.30,  0.11,  0.09,  0.00,  0.01,   10261973,    8403000,    1867000,   22972185, c++, elite, sing, 10
1099920.exe ,  0.27,  0.09,  0.09,  0.00,  0.01,   10340608,    9418000,     941000,   22798019, c++, elite, sing, 10
1099920.exe ,  0.28,  0.10,  0.10,  0.00,  0.01,    9987802,    9991000,          0,   22405112, c++, elite, sing, 10
1099920.exe ,  0.28,  0.10,  0.10,  0.00,  0.01,   10033892,   10034000,          0,   22620759, c++, elite, sing, 10
1141254.exe ,  0.31,  0.11,  0.11,  0.00,  0.01,   11033054,   11031000,          0,   23836749, c++, elite, sing, 10
1141254.exe ,  0.31,  0.11,  0.10,  0.00,  0.01,   10977432,    8985000,    1996000,   23707720, c++, elite, sing, 10
1141254.exe ,  0.33,  0.11,  0.11,  0.00,  0.01,   10838308,    8865000,    1970000,   23390545, c++, elite, sing, 10
1141254.exe ,  0.33,  0.11,  0.11,  0.00,  0.01,   11001347,    8938000,    1986000,   23888945, c++, elite, sing, 10
1141254.exe ,  0.30,  0.10,  0.10,  0.00,  0.01,   11310260,    9426000,    1885000,   24350481, c++, elite, sing, 10
1141254.exe ,  0.31,  0.11,  0.11,  0.00,  0.01,   10965874,    8972000,    1993000,   23685808, c++, elite, sing, 10
1141254.exe ,  0.31,  0.11,  0.10,  0.00,  0.01,   10997244,    9978000,     997000,   23762355, c++, elite, sing, 10
1141254.exe ,  0.30,  0.11,  0.10,  0.00,  0.01,   10883516,    9083000,    1816000,   23747252, c++, elite, sing, 10
1141254.exe ,  0.31,  0.11,  0.10,  0.00,  0.01,   11277240,    8472000,    2824000,   23923097, c++, elite, sing, 10
1141254.exe ,  0.34,  0.11,  0.11,  0.00,  0.01,   11034318,    9023000,    2005000,   23600570, c++, elite, sing, 10
1164955.exe ,  0.37,  0.13,  0.12,  0.00,  0.01,   12418330,    9549000,    2864000,   25907060, c++, elite, sing, 10
1164955.exe ,  0.36,  0.13,  0.12,  0.00,  0.01,   12685815,   10672000,    1940000,   25426857, c++, elite, sing, 10
1164955.exe ,  0.36,  0.13,  0.12,  0.00,  0.01,   12738558,   10770000,    1958000,   25733437, c++, elite, sing, 10
1164955.exe ,  0.38,  0.13,  0.12,  0.00,  0.01,   12726326,    9784000,    2935000,   25368857, c++, elite, sing, 10
1164955.exe ,  0.37,  0.13,  0.12,  0.00,  0.01,   12551817,   10613000,    1929000,   25559674, c++, elite, sing, 10
1164955.exe ,  0.36,  0.13,  0.12,  0.00,  0.01,   12776631,   10804000,    1964000,   25663025, c++, elite, sing, 10
1164955.exe ,  0.37,  0.13,  0.12,  0.00,  0.01,   12742747,   11683000,    1062000,   25377271, c++, elite, sing, 10
1164955.exe ,  0.36,  0.13,  0.12,  0.00,  0.01,   12605361,   11572000,    1052000,   25537651, c++, elite, sing, 10
1164955.exe ,  0.37,  0.13,  0.13,  0.00,  0.01,   12837748,   11836000,     986000,   25795711, c++, elite, sing, 10
