file,psys,pkg,cores,gpu,ram,duration_time,user_time,system_time,perf_time,lang,machine,cores,power_limit
1135633.exe ,  5.17,  0.57,  0.46,  0.00,  0.16,  290222716,  272620000,   16976000,  332944465, c++, elite, mult, 2
1135633.exe ,  4.85,  0.56,  0.46,  0.00,  0.16,  285448134,  272404000,   13019000,  328777400, c++, elite, mult, 2
1135633.exe ,  5.51,  0.66,  0.55,  0.00,  0.19,  314467552,  296520000,   17910000,  356847679, c++, elite, mult, 2
1135633.exe ,  4.89,  0.56,  0.46,  0.00,  0.16,  284458206,  264425000,   19956000,  326696501, c++, elite, mult, 2
1135633.exe ,  4.60,  0.54,  0.44,  0.00,  0.15,  272563548,  258539000,   14029000,  313454745, c++, elite, mult, 2
1135633.exe ,  4.67,  0.54,  0.44,  0.00,  0.15,  272667354,  257598000,   15034000,  312965269, c++, elite, mult, 2
1135633.exe ,  4.50,  0.52,  0.43,  0.00,  0.15,  265561762,  251612000,   13923000,  305354678, c++, elite, mult, 2
1135633.exe ,  4.53,  0.53,  0.44,  0.00,  0.15,  270060493,  252950000,   17064000,  310002347, c++, elite, mult, 2
1135633.exe ,  4.54,  0.53,  0.43,  0.00,  0.15,  267683544,  250768000,   16916000,  307250974, c++, elite, mult, 2
1135633.exe ,  4.29,  0.50,  0.41,  0.00,  0.14,  252032396,  236094000,   15938000,  289217268, c++, elite, mult, 2
1247568.exe , 11.06,  1.30,  1.07,  0.00,  0.35,  659867726,  640740000,   18992000,  702082870, c++, elite, mult, 2
1247568.exe , 10.80,  1.27,  1.04,  0.00,  0.34,  642778198,  630739000,   11976000,  685761597, c++, elite, mult, 2
1247568.exe , 10.52,  1.23,  1.01,  0.00,  0.33,  622600455,  606334000,   15982000,  664485643, c++, elite, mult, 2
1247568.exe , 10.90,  1.27,  1.04,  0.00,  0.34,  644151639,  630910000,   13018000,  684293277, c++, elite, mult, 2
1247568.exe , 10.98,  1.29,  1.06,  0.00,  0.34,  655758961,  637714000,   17963000,  699144933, c++, elite, mult, 2
1247568.exe , 10.16,  1.20,  0.98,  0.00,  0.32,  606535539,  591340000,   15008000,  646286104, c++, elite, mult, 2
1247568.exe , 10.47,  1.23,  1.01,  0.00,  0.33,  622093670,  604949000,   17026000,  662870960, c++, elite, mult, 2
1247568.exe , 11.05,  1.31,  1.07,  0.00,  0.35,  664605896,  642328000,   21977000,  707040745, c++, elite, mult, 2
1247568.exe , 10.68,  1.24,  1.02,  0.00,  0.33,  631457775,  611318000,   19977000,  672776754, c++, elite, mult, 2
1247568.exe , 10.40,  1.23,  1.01,  0.00,  0.33,  624146910,  607964000,   15999000,  664618881, c++, elite, mult, 2
1265407.exe ,  4.36,  0.51,  0.42,  0.00,  0.15,  257891328,  236891000,   20990000,  300336374, c++, elite, mult, 2
1265407.exe ,  4.42,  0.51,  0.42,  0.00,  0.15,  257084859,  241069000,   16004000,  298804956, c++, elite, mult, 2
1265407.exe ,  4.49,  0.51,  0.42,  0.00,  0.15,  260411176,  248340000,   11968000,  304684688, c++, elite, mult, 2
1265407.exe ,  4.31,  0.50,  0.41,  0.00,  0.14,  254049481,  235138000,   18930000,  295806615, c++, elite, mult, 2
1265407.exe ,  4.68,  0.54,  0.44,  0.00,  0.15,  272431058,  256412000,   16025000,  315365774, c++, elite, mult, 2
1265407.exe ,  4.44,  0.52,  0.42,  0.00,  0.15,  261966729,  240984000,   20998000,  304805863, c++, elite, mult, 2
1265407.exe ,  4.44,  0.51,  0.42,  0.00,  0.15,  258352474,  242113000,   16007000,  301642681, c++, elite, mult, 2
1265407.exe ,  4.36,  0.51,  0.42,  0.00,  0.14,  257854631,  235739000,   22069000,  299874230, c++, elite, mult, 2
1265407.exe ,  4.33,  0.50,  0.42,  0.00,  0.14,  256736340,  241710000,   14920000,  297549284, c++, elite, mult, 2
1265407.exe ,  4.29,  0.49,  0.40,  0.00,  0.14,  245731747,  225662000,   20058000,  285517368, c++, elite, mult, 2
1290299.exe ,  4.72,  0.54,  0.45,  0.00,  0.16,  276540522,  253435000,   22948000,  314457829, c++, elite, mult, 2
1290299.exe ,  4.95,  0.57,  0.47,  0.00,  0.16,  288615472,  271490000,   17030000,  328954102, c++, elite, mult, 2
1290299.exe ,  4.70,  0.55,  0.45,  0.00,  0.15,  278748770,  263744000,   14985000,  319869361, c++, elite, mult, 2
1290299.exe ,  4.82,  0.56,  0.46,  0.00,  0.16,  282722967,  266786000,   15927000,  324054783, c++, elite, mult, 2
1290299.exe ,  4.72,  0.55,  0.45,  0.00,  0.16,  278417117,  260336000,   18023000,  315997729, c++, elite, mult, 2
1290299.exe ,  4.76,  0.55,  0.45,  0.00,  0.16,  279554445,  261411000,   18028000,  319779458, c++, elite, mult, 2
1290299.exe ,  4.78,  0.56,  0.46,  0.00,  0.16,  284824892,  268900000,   15934000,  326534190, c++, elite, mult, 2
1290299.exe ,  4.78,  0.56,  0.46,  0.00,  0.16,  286318951,  270274000,   16016000,  326894195, c++, elite, mult, 2
1290299.exe ,  4.73,  0.54,  0.44,  0.00,  0.15,  273553567,  251667000,   21884000,  315069919, c++, elite, mult, 2
1290299.exe ,  4.66,  0.54,  0.44,  0.00,  0.15,  274035544,  253115000,   20926000,  315000278, c++, elite, mult, 2
1291495.exe ,  2.30,  0.26,  0.21,  0.00,  0.08,  132677185,  119623000,   13068000,  174975434, c++, elite, mult, 2
1291495.exe ,  2.18,  0.25,  0.21,  0.00,  0.07,  128121291,  114109000,   14013000,  170580872, c++, elite, mult, 2
