file,psys,pkg,cores,ram,gpu,duration_time,user_time,system_time,perf_time,lang,machine,cores,power_limit
1172589.exe ,  1.47,  0.69,  0.66,  0.04,  0.00,   70462905,   60201000,    8026000,  122230496, c++, iotlab1, mult, 25
1172589.exe ,  1.40,  0.69,  0.67,  0.03,  0.00,   63330691,   59401000,    3960000,   75663834, c++, iotlab1, mult, 25
1172589.exe ,  1.38,  0.68,  0.66,  0.03,  0.00,   63784145,   61826000,    1994000,   76115607, c++, iotlab1, mult, 25
1172589.exe ,  1.39,  0.69,  0.67,  0.03,  0.00,   65052147,   63092000,    2002000,   77314340, c++, iotlab1, mult, 25
1172589.exe ,  1.36,  0.67,  0.66,  0.03,  0.00,   63882115,   62919000,     998000,   76389983, c++, iotlab1, mult, 25
1172589.exe ,  1.40,  0.69,  0.67,  0.03,  0.00,   63824175,   60929000,    2948000,   76199700, c++, iotlab1, mult, 25
1172589.exe ,  1.38,  0.68,  0.66,  0.03,  0.00,   63779977,   60831000,    2991000,   76056985, c++, iotlab1, mult, 25
1172589.exe ,  1.39,  0.68,  0.66,  0.03,  0.00,   63649461,   62606000,    1009000,   75981283, c++, iotlab1, mult, 25
1172589.exe ,  1.36,  0.67,  0.66,  0.03,  0.00,   63654315,   61699000,    1990000,   76141582, c++, iotlab1, mult, 25
1172589.exe ,  1.37,  0.67,  0.66,  0.03,  0.00,   63334918,   61116000,    2003000,   75556724, c++, iotlab1, mult, 25
126726.exe  ,  1.43,  0.67,  0.65,  0.04,  0.00,   68669329,   67709000,    1010000,   81343277, c++, iotlab1, mult, 25
126726.exe  ,  1.42,  0.69,  0.68,  0.03,  0.00,   65411179,   62482000,    2975000,   77620776, c++, iotlab1, mult, 25
126726.exe  ,  1.42,  0.70,  0.68,  0.03,  0.00,   65624946,   63646000,    2020000,   77830064, c++, iotlab1, mult, 25
126726.exe  ,  1.44,  0.70,  0.68,  0.04,  0.00,   66349852,   63331000,    2968000,   78677704, c++, iotlab1, mult, 25
126726.exe  ,  1.42,  0.69,  0.67,  0.03,  0.00,   65437044,   64483000,     992000,   77660555, c++, iotlab1, mult, 25
126726.exe  ,  1.40,  0.68,  0.67,  0.03,  0.00,   65787597,   65826000,          0,   77957271, c++, iotlab1, mult, 25
126726.exe  ,  1.39,  0.68,  0.66,  0.03,  0.00,   65671782,   64627000,    1009000,   77897511, c++, iotlab1, mult, 25
126726.exe  ,  1.42,  0.69,  0.67,  0.03,  0.00,   65568745,   65514000,          0,   77750104, c++, iotlab1, mult, 25
126726.exe  ,  1.41,  0.70,  0.68,  0.03,  0.00,   65450709,   62429000,    2972000,   77810894, c++, iotlab1, mult, 25
126726.exe  ,  1.42,  0.70,  0.68,  0.03,  0.00,   65374129,   64372000,    1005000,   77590520, c++, iotlab1, mult, 25
1342186.exe ,  1.78,  0.79,  0.77,  0.06,  0.00,   87244700,   83276000,    4013000,  100626103, c++, iotlab1, mult, 25
1342186.exe ,  1.73,  0.76,  0.74,  0.05,  0.00,   87797966,   82790000,    5048000,  100088843, c++, iotlab1, mult, 25
1342186.exe ,  1.78,  0.79,  0.76,  0.06,  0.00,   87019057,   84059000,    3002000,   99267026, c++, iotlab1, mult, 25
1342186.exe ,  1.75,  0.79,  0.76,  0.05,  0.00,   85912156,   79961000,    5997000,   98285877, c++, iotlab1, mult, 25
1342186.exe ,  1.76,  0.79,  0.76,  0.06,  0.00,   86700146,   82727000,    3986000,   99035747, c++, iotlab1, mult, 25
1342186.exe ,  1.78,  0.80,  0.77,  0.06,  0.00,   88216318,   86246000,    2005000,  100556298, c++, iotlab1, mult, 25
1342186.exe ,  1.75,  0.80,  0.78,  0.05,  0.00,   85919734,   79957000,    5996000,   98283812, c++, iotlab1, mult, 25
1342186.exe ,  1.74,  0.79,  0.76,  0.06,  0.00,   85477250,   80510000,    5031000,   97781579, c++, iotlab1, mult, 25
1342186.exe ,  1.77,  0.81,  0.78,  0.05,  0.00,   86829381,   80870000,    5990000,   99100844, c++, iotlab1, mult, 25
1342186.exe ,  1.74,  0.79,  0.76,  0.06,  0.00,   86820465,   82864000,    3993000,   99238088, c++, iotlab1, mult, 25
1374738.exe ,  0.74,  0.34,  0.32,  0.02,  0.00,   34544919,   31591000,    2961000,   46758466, c++, iotlab1, mult, 25
1374738.exe ,  0.75,  0.34,  0.33,  0.02,  0.00,   34564950,   33471000,     984000,   46827849, c++, iotlab1, mult, 25
1374738.exe ,  0.71,  0.32,  0.31,  0.02,  0.00,   34715910,   33733000,     992000,   46867648, c++, iotlab1, mult, 25
1374738.exe ,  0.74,  0.34,  0.33,  0.02,  0.00,   35054426,   34066000,    1001000,   47337696, c++, iotlab1, mult, 25
1374738.exe ,  0.74,  0.35,  0.33,  0.02,  0.00,   34560185,   32533000,    2033000,   46865392, c++, iotlab1, mult, 25
1374738.exe ,  0.73,  0.32,  0.31,  0.02,  0.00,   34948772,   32942000,    1996000,   47070564, c++, iotlab1, mult, 25
1374738.exe ,  0.73,  0.33,  0.32,  0.02,  0.00,   34380340,   30299000,    4039000,   46627137, c++, iotlab1, mult, 25
1374738.exe ,  0.74,  0.33,  0.32,  0.02,  0.00,   34737064,   32756000,    1985000,   47007579, c++, iotlab1, mult, 25
1374738.exe ,  0.75,  0.34,  0.33,  0.02,  0.00,   34558619,   31531000,    2956000,   46851359, c++, iotlab1, mult, 25
1374738.exe ,  0.72,  0.32,  0.32,  0.02,  0.00,   34460044,   33415000,     982000,   46608174, c++, iotlab1, mult, 25
1409011.exe ,  1.43,  0.69,  0.67,  0.03,  0.00,   66880980,   64928000,    1997000,   81873073, c++, iotlab1, mult, 25
1409011.exe ,  1.40,  0.67,  0.65,  0.04,  0.00,   68148479,   66175000,    2005000,   80359946, c++, iotlab1, mult, 25
1409011.exe ,  1.42,  0.70,  0.68,  0.03,  0.00,   65410139,   65449000,          0,   77635005, c++, iotlab1, mult, 25
1409011.exe ,  1.41,  0.69,  0.68,  0.03,  0.00,   65589057,   62528000,    2977000,   77843464, c++, iotlab1, mult, 25
1409011.exe ,  1.43,  0.70,  0.68,  0.03,  0.00,   65641538,   64660000,    1010000,   77873668, c++, iotlab1, mult, 25
1409011.exe ,  1.43,  0.70,  0.68,  0.04,  0.00,   65940817,   63997000,    1969000,   78116306, c++, iotlab1, mult, 25
1409011.exe ,  1.46,  0.71,  0.68,  0.04,  0.00,   67118363,   64108000,    3005000,   79329320, c++, iotlab1, mult, 25
1409011.exe ,  1.45,  0.71,  0.68,  0.04,  0.00,   66145937,   64161000,    2005000,   78357877, c++, iotlab1, mult, 25
1409011.exe ,  1.41,  0.70,  0.69,  0.03,  0.00,   65683143,   61750000,    3983000,   77888312, c++, iotlab1, mult, 25
1409011.exe ,  1.42,  0.68,  0.66,  0.04,  0.00,   66774280,   62810000,    3987000,   79011887, c++, iotlab1, mult, 25
1690595.exe ,  0.91,  0.43,  0.41,  0.02,  0.00,   41115461,   40110000,    1002000,   53414651, c++, iotlab1, mult, 25
1690595.exe ,  0.88,  0.41,  0.41,  0.02,  0.00,   41536707,   41551000,          0,   53931559, c++, iotlab1, mult, 25
1690595.exe ,  0.88,  0.40,  0.38,  0.02,  0.00,   41880139,   40894000,     997000,   53905414, c++, iotlab1, mult, 25
1690595.exe ,  0.86,  0.41,  0.40,  0.02,  0.00,   41001393,   38005000,    3000000,   53136365, c++, iotlab1, mult, 25
1690595.exe ,  0.87,  0.42,  0.41,  0.02,  0.00,   41004121,   40014000,    1000000,   53393916, c++, iotlab1, mult, 25
1690595.exe ,  0.88,  0.42,  0.41,  0.02,  0.00,   41043247,   38057000,    3004000,   53219984, c++, iotlab1, mult, 25
1690595.exe ,  0.87,  0.41,  0.40,  0.02,  0.00,   41144805,   40152000,    1003000,   53276879, c++, iotlab1, mult, 25
1690595.exe ,  0.91,  0.43,  0.41,  0.02,  0.00,   41358019,   40355000,    1008000,   53563818, c++, iotlab1, mult, 25
1690595.exe ,  0.85,  0.41,  0.40,  0.02,  0.00,   40803807,   38737000,    1986000,   52997600, c++, iotlab1, mult, 25
1690595.exe ,  0.89,  0.42,  0.40,  0.02,  0.00,   41043364,   41053000,          0,   53309955, c++, iotlab1, mult, 25
1825983.exe ,  1.39,  0.68,  0.66,  0.03,  0.00,   63810688,   62845000,     997000,   77147986, c++, iotlab1, mult, 25
1825983.exe ,  1.37,  0.68,  0.66,  0.03,  0.00,   62950731,   60936000,    1997000,   75305074, c++, iotlab1, mult, 25
1825983.exe ,  1.40,  0.66,  0.65,  0.03,  0.00,   63280621,   61286000,    2009000,   75420914, c++, iotlab1, mult, 25
