file,psys,pkg,cores,ram,gpu,duration_time,user_time,system_time,perf_time,lang,machine,cores,power_limit
1151909.exe ,  2.49,  1.01,  0.97,  0.12,  0.00,  118480248,   98427000,   15065000,  163918259, c++, iotlab1, sing, 15
1151909.exe ,  2.36,  0.98,  0.94,  0.11,  0.00,  111869560,   91553000,   20121000,  124346916, c++, iotlab1, sing, 15
1151909.exe ,  2.31,  0.96,  0.92,  0.11,  0.00,  110870249,   98727000,   12089000,  123134821, c++, iotlab1, sing, 15
1151909.exe ,  2.41,  1.00,  0.95,  0.11,  0.00,  112290528,   93150000,   19030000,  124785145, c++, iotlab1, sing, 15
1151909.exe ,  2.39,  0.98,  0.94,  0.11,  0.00,  110474696,   93508000,   16911000,  122927639, c++, iotlab1, sing, 15
1151909.exe ,  2.34,  0.96,  0.92,  0.11,  0.00,  111784682,  101670000,   10066000,  124128887, c++, iotlab1, sing, 15
1151909.exe ,  2.34,  0.98,  0.95,  0.11,  0.00,  110504977,   94542000,   15922000,  123006008, c++, iotlab1, sing, 15
1151909.exe ,  2.29,  0.96,  0.92,  0.11,  0.00,  110523217,   94386000,   16065000,  123011949, c++, iotlab1, sing, 15
1151909.exe ,  2.35,  0.99,  0.95,  0.11,  0.00,  111665978,   93699000,   17942000,  124279825, c++, iotlab1, sing, 15
1151909.exe ,  2.32,  0.98,  0.94,  0.11,  0.00,  110971885,   97934000,   12991000,  123336328, c++, iotlab1, sing, 15
1200127.exe ,  2.53,  1.02,  0.99,  0.12,  0.00,  123968604,  113928000,    9993000,  136844242, c++, iotlab1, sing, 15
1200127.exe ,  2.53,  1.04,  1.00,  0.12,  0.00,  124668207,  112650000,   11962000,  136905217, c++, iotlab1, sing, 15
1200127.exe ,  2.56,  1.07,  1.02,  0.12,  0.00,  124645009,  106582000,   17929000,  137004909, c++, iotlab1, sing, 15
1200127.exe ,  2.50,  1.04,  0.99,  0.12,  0.00,  123597811,  112584000,   10959000,  135818149, c++, iotlab1, sing, 15
1200127.exe ,  2.52,  1.05,  1.01,  0.12,  0.00,  122737140,  111682000,   10968000,  135227186, c++, iotlab1, sing, 15
1200127.exe ,  2.59,  1.06,  1.02,  0.12,  0.00,  124712343,  109700000,   14959000,  137170147, c++, iotlab1, sing, 15
1200127.exe ,  2.52,  1.04,  1.00,  0.12,  0.00,  124018517,  109829000,   13978000,  136275224, c++, iotlab1, sing, 15
1200127.exe ,  2.55,  1.04,  1.00,  0.12,  0.00,  123259510,  114205000,    9016000,  135677097, c++, iotlab1, sing, 15
1200127.exe ,  2.54,  1.06,  1.01,  0.12,  0.00,  123743699,  112721000,   10972000,  136401775, c++, iotlab1, sing, 15
1200127.exe ,  2.50,  1.04,  1.01,  0.12,  0.00,  122782288,  107769000,   14967000,  135260092, c++, iotlab1, sing, 15
1259704.exe ,  3.43,  1.53,  1.49,  0.12,  0.00,  155211702,  139257000,   15915000,  167651237, c++, iotlab1, sing, 15
1259704.exe ,  3.34,  1.52,  1.46,  0.12,  0.00,  153401738,  142378000,   10952000,  165794496, c++, iotlab1, sing, 15
1259704.exe ,  3.35,  1.53,  1.48,  0.12,  0.00,  154864243,  146693000,    8038000,  167328137, c++, iotlab1, sing, 15
1259704.exe ,  3.28,  1.51,  1.46,  0.12,  0.00,  153154020,  144102000,    9006000,  165600702, c++, iotlab1, sing, 15
1259704.exe ,  3.29,  1.51,  1.46,  0.12,  0.00,  153814125,  143783000,    9984000,  166080732, c++, iotlab1, sing, 15
1259704.exe ,  3.32,  1.53,  1.47,  0.12,  0.00,  153496232,  141502000,   11957000,  165858161, c++, iotlab1, sing, 15
1259704.exe ,  3.28,  1.46,  1.41,  0.12,  0.00,  156796384,  141684000,   15072000,  170035660, c++, iotlab1, sing, 15
1259704.exe ,  3.31,  1.51,  1.46,  0.12,  0.00,  153070680,  141919000,   10993000,  165522231, c++, iotlab1, sing, 15
1259704.exe ,  3.32,  1.51,  1.47,  0.12,  0.00,  154127833,  143004000,   11000000,  166512809, c++, iotlab1, sing, 15
1259704.exe ,  3.36,  1.54,  1.49,  0.12,  0.00,  154891764,  144815000,    9987000,  167196700, c++, iotlab1, sing, 15
1288015.exe ,  2.39,  1.02,  0.97,  0.11,  0.00,  115095914,  108060000,    7003000,  127524241, c++, iotlab1, sing, 15
1288015.exe ,  2.36,  1.00,  0.96,  0.11,  0.00,  115611745,  108548000,    7035000,  128111333, c++, iotlab1, sing, 15
1288015.exe ,  2.41,  1.01,  0.97,  0.11,  0.00,  118301512,  110254000,    8018000,  130773228, c++, iotlab1, sing, 15
1288015.exe ,  2.43,  0.99,  0.94,  0.11,  0.00,  117413534,  110394000,    6961000,  129876593, c++, iotlab1, sing, 15
1288015.exe ,  2.41,  1.02,  0.97,  0.11,  0.00,  116499925,  105411000,   11043000,  128893742, c++, iotlab1, sing, 15
1288015.exe ,  2.40,  1.01,  0.97,  0.11,  0.00,  116501123,  113425000,    3011000,  128998754, c++, iotlab1, sing, 15
1288015.exe ,  2.39,  1.01,  0.97,  0.11,  0.00,  116616663,  111581000,    5026000,  128972280, c++, iotlab1, sing, 15
1288015.exe ,  2.38,  0.99,  0.95,  0.11,  0.00,  116742020,  112693000,    4024000,  129089910, c++, iotlab1, sing, 15
1288015.exe ,  2.37,  1.00,  0.96,  0.11,  0.00,  115924403,  111869000,    4031000,  128371750, c++, iotlab1, sing, 15
1288015.exe ,  2.37,  1.00,  0.97,  0.11,  0.00,  116564455,  110563000,    5976000,  129022195, c++, iotlab1, sing, 15
1412740.exe ,  4.10,  1.81,  1.75,  0.17,  0.00,  197061861,  184064000,   12934000,  210460223, c++, iotlab1, sing, 15
1412740.exe ,  4.17,  1.87,  1.81,  0.17,  0.00,  197313545,  182268000,   15022000,  209621966, c++, iotlab1, sing, 15
1412740.exe ,  4.13,  1.86,  1.79,  0.17,  0.00,  194891877,  176839000,   17983000,  207305908, c++, iotlab1, sing, 15
1412740.exe ,  4.12,  1.84,  1.78,  0.17,  0.00,  195174714,  176138000,   19014000,  207533046, c++, iotlab1, sing, 15
1412740.exe ,  4.14,  1.83,  1.77,  0.17,  0.00,  195071625,  182053000,   13003000,  207415376, c++, iotlab1, sing, 15
1412740.exe ,  4.13,  1.83,  1.77,  0.17,  0.00,  195484283,  182334000,   13023000,  207853307, c++, iotlab1, sing, 15
1412740.exe ,  4.16,  1.84,  1.77,  0.17,  0.00,  195129572,  179102000,   16009000,  207702779, c++, iotlab1, sing, 15
1412740.exe ,  4.13,  1.84,  1.77,  0.17,  0.00,  194793460,  183766000,   10986000,  207293209, c++, iotlab1, sing, 15
1412740.exe ,  4.16,  1.84,  1.77,  0.17,  0.00,  195245931,  184142000,   11008000,  207676251, c++, iotlab1, sing, 15
1412740.exe ,  4.15,  1.83,  1.77,  0.17,  0.00,  196150242,  181124000,   15010000,  208457486, c++, iotlab1, sing, 15
1420625.exe ,  3.30,  1.38,  1.33,  0.17,  0.00,  156991968,  135042000,   21845000,  169849358, c++, iotlab1, sing, 15
1420625.exe ,  3.31,  1.39,  1.33,  0.17,  0.00,  156465021,  131280000,   25053000,  168917194, c++, iotlab1, sing, 15
1420625.exe ,  3.27,  1.36,  1.31,  0.17,  0.00,  155038709,  131941000,   22989000,  167492117, c++, iotlab1, sing, 15
1420625.exe ,  3.30,  1.39,  1.33,  0.17,  0.00,  157156898,  135287000,   21884000,  169478510, c++, iotlab1, sing, 15
1420625.exe ,  3.30,  1.38,  1.33,  0.17,  0.00,  156734269,  132652000,   23937000,  169135789, c++, iotlab1, sing, 15
1420625.exe ,  3.30,  1.37,  1.31,  0.17,  0.00,  155601381,  127645000,   27922000,  167871394, c++, iotlab1, sing, 15
1420625.exe ,  3.25,  1.38,  1.33,  0.17,  0.00,  155589937,  132475000,   23082000,  167959681, c++, iotlab1, sing, 15
1420625.exe ,  3.27,  1.39,  1.33,  0.17,  0.00,  155901142,  138796000,   17098000,  168426005, c++, iotlab1, sing, 15
1420625.exe ,  3.28,  1.39,  1.34,  0.17,  0.00,  156675916,  136705000,   19956000,  169025536, c++, iotlab1, sing, 15
1420625.exe ,  3.27,  1.37,  1.31,  0.17,  0.00,  156392682,  134320000,   22052000,  168766143, c++, iotlab1, sing, 15
1661747.exe ,  3.69,  1.69,  1.63,  0.15,  0.00,  175696947,  161732000,   13976000,  188124782, c++, iotlab1, sing, 15
1661747.exe ,  3.74,  1.67,  1.60,  0.15,  0.00,  179051952,  171035000,    8001000,  191457704, c++, iotlab1, sing, 15
1661747.exe ,  3.76,  1.70,  1.64,  0.15,  0.00,  177673461,  161599000,   16059000,  190040733, c++, iotlab1, sing, 15
1661747.exe ,  3.72,  1.69,  1.63,  0.15,  0.00,  176692852,  163715000,   12977000,  189161247, c++, iotlab1, sing, 15
1661747.exe ,  3.72,  1.68,  1.62,  0.15,  0.00,  177137382,  157048000,   20006000,  189622130, c++, iotlab1, sing, 15
1661747.exe ,  3.74,  1.67,  1.61,  0.15,  0.00,  176465554,  168401000,    7971000,  188946865, c++, iotlab1, sing, 15
1661747.exe ,  3.71,  1.67,  1.61,  0.15,  0.00,  176850289,  168827000,    8039000,  189385648, c++, iotlab1, sing, 15
1661747.exe ,  3.74,  1.66,  1.60,  0.15,  0.00,  177464340,  166493000,   10966000,  189861767, c++, iotlab1, sing, 15
1661747.exe ,  3.76,  1.68,  1.62,  0.15,  0.00,  178767096,  166790000,   11984000,  191172608, c++, iotlab1, sing, 15
1661747.exe ,  3.72,  1.68,  1.63,  0.15,  0.00,  177162429,  164121000,   13009000,  189697118, c++, iotlab1, sing, 15
1738849.exe ,  2.29,  0.95,  0.91,  0.11,  0.00,  112965431,   96936000,   15989000,  125899909, c++, iotlab1, sing, 15
1738849.exe ,  2.30,  0.97,  0.94,  0.11,  0.00,  111589270,   98521000,   13069000,  123988034, c++, iotlab1, sing, 15
1738849.exe ,  2.35,  1.00,  0.96,  0.11,  0.00,  112078089,  100074000,   12008000,  124470486, c++, iotlab1, sing, 15
1738849.exe ,  2.28,  0.97,  0.94,  0.11,  0.00,  111529818,  100437000,   11048000,  123868166, c++, iotlab1, sing, 15
1738849.exe ,  2.33,  1.00,  0.96,  0.11,  0.00,  111674460,   91726000,   19940000,  124226636, c++, iotlab1, sing, 15
1738849.exe ,  2.33,  1.00,  0.95,  0.11,  0.00,  111677055,  103623000,    8048000,  124033811, c++, iotlab1, sing, 15
1738849.exe ,  2.29,  0.96,  0.94,  0.11,  0.00,  111892791,   90893000,   20975000,  124245576, c++, iotlab1, sing, 15
1738849.exe ,  2.32,  0.98,  0.94,  0.11,  0.00,  111350055,  101298000,   10029000,  123826017, c++, iotlab1, sing, 15
1738849.exe ,  2.31,  0.97,  0.94,  0.11,  0.00,  112029272,  104017000,    8001000,  124458777, c++, iotlab1, sing, 15
1738849.exe ,  2.32,  0.99,  0.95,  0.11,  0.00,  112137826,  100080000,   12009000,  124572354, c++, iotlab1, sing, 15
1836986.exe ,  2.19,  0.92,  0.88,  0.10,  0.00,  106454130,  102427000,    4016000,  118763579, c++, iotlab1, sing, 15
1836986.exe ,  2.12,  0.90,  0.87,  0.10,  0.00,  103829225,   96842000,    6988000,  116388557, c++, iotlab1, sing, 15
