file,psys,pkg,cores,ram,gpu,duration_time,user_time,system_time,perf_time,lang,machine,cores,power_limit
1086590.exe ,  1.83,  0.88,  0.85,  0.04,  0.00,   84563910,   82441000,          0,  137444279, c++, iotlab1, mult, 25
1086590.exe ,  1.90,  0.88,  0.86,  0.04,  0.00,   83110396,   81080000,    2001000,   95187815, c++, iotlab1, mult, 25
1086590.exe ,  1.85,  0.88,  0.85,  0.04,  0.00,   83043704,   82022000,    1000000,   95180848, c++, iotlab1, mult, 25
1086590.exe ,  1.87,  0.88,  0.85,  0.04,  0.00,   82588362,   82555000,          0,   94614716, c++, iotlab1, mult, 25
1086590.exe ,  1.79,  0.86,  0.84,  0.04,  0.00,   82900659,   80914000,    1973000,   95020652, c++, iotlab1, mult, 25
1086590.exe ,  1.85,  0.87,  0.85,  0.04,  0.00,   82958460,   80935000,    1998000,   95145457, c++, iotlab1, mult, 25
1086590.exe ,  1.80,  0.86,  0.84,  0.04,  0.00,   82462125,   80391000,    1984000,   94750153, c++, iotlab1, mult, 25
1086590.exe ,  1.83,  0.86,  0.84,  0.04,  0.00,   83153503,   81141000,    2003000,   95382299, c++, iotlab1, mult, 25
1086590.exe ,  1.80,  0.85,  0.84,  0.04,  0.00,   82710995,   80695000,    1992000,   95136154, c++, iotlab1, mult, 25
1086590.exe ,  1.80,  0.87,  0.84,  0.04,  0.00,   82888037,   82788000,          0,   95049640, c++, iotlab1, mult, 25
1251351.exe ,  7.49,  3.44,  3.32,  0.32,  0.00,  341051503,  185845000,  154871000,  354167997, c++, iotlab1, mult, 25
1251351.exe ,  7.48,  3.47,  3.33,  0.32,  0.00,  340431183,  182543000,  157605000,  352632924, c++, iotlab1, mult, 25
1251351.exe ,  7.47,  3.47,  3.34,  0.32,  0.00,  340429424,  185070000,  155059000,  352557717, c++, iotlab1, mult, 25
1251351.exe ,  7.55,  3.42,  3.28,  0.32,  0.00,  340401622,  182490000,  157559000,  352737998, c++, iotlab1, mult, 25
1251351.exe ,  7.51,  3.42,  3.28,  0.32,  0.00,  339510995,  183579000,  155643000,  351847431, c++, iotlab1, mult, 25
1251351.exe ,  7.55,  3.43,  3.30,  0.32,  0.00,  341283976,  177927000,  162933000,  353568545, c++, iotlab1, mult, 25
1251351.exe ,  7.51,  3.45,  3.32,  0.32,  0.00,  340669008,  186654000,  153715000,  353067836, c++, iotlab1, mult, 25
1251351.exe ,  7.53,  3.42,  3.29,  0.32,  0.00,  340229832,  190961000,  148970000,  352556560, c++, iotlab1, mult, 25
1251351.exe ,  7.53,  3.44,  3.30,  0.32,  0.00,  339330933,  182981000,  155984000,  351521623, c++, iotlab1, mult, 25
1251351.exe ,  7.49,  3.42,  3.30,  0.32,  0.00,  340304793,  184021000,  156018000,  352625437, c++, iotlab1, mult, 25
1573990.exe ,  7.47,  3.42,  3.29,  0.32,  0.00,  339788459,  178671000,  160704000,  352013338, c++, iotlab1, mult, 25
1573990.exe ,  7.47,  3.43,  3.31,  0.32,  0.00,  340369963,  185017000,  155014000,  352610061, c++, iotlab1, mult, 25
1573990.exe ,  7.50,  3.41,  3.28,  0.32,  0.00,  340157660,  186907000,  152924000,  352497938, c++, iotlab1, mult, 25
1573990.exe ,  7.50,  3.44,  3.31,  0.32,  0.00,  340872570,  190215000,  150380000,  353158034, c++, iotlab1, mult, 25
1573990.exe ,  7.53,  3.43,  3.30,  0.32,  0.00,  340424337,  192042000,  148032000,  352644267, c++, iotlab1, mult, 25
1573990.exe ,  7.52,  3.42,  3.29,  0.32,  0.00,  339961893,  178747000,  160773000,  352217304, c++, iotlab1, mult, 25
1573990.exe ,  7.50,  3.41,  3.29,  0.32,  0.00,  340324718,  186437000,  153536000,  352479444, c++, iotlab1, mult, 25
1573990.exe ,  7.52,  3.40,  3.27,  0.32,  0.00,  339943017,  185795000,  153830000,  352204786, c++, iotlab1, mult, 25
1573990.exe ,  7.51,  3.41,  3.28,  0.32,  0.00,  339594160,  169260000,  170261000,  351901139, c++, iotlab1, mult, 25
1573990.exe ,  7.50,  3.40,  3.28,  0.32,  0.00,  340356819,  185490000,  154575000,  352714294, c++, iotlab1, mult, 25
1678927.exe ,  2.96,  1.43,  1.39,  0.07,  0.00,  138498515,  137477000,    1003000,  150650200, c++, iotlab1, mult, 25
1678927.exe ,  2.97,  1.42,  1.38,  0.07,  0.00,  138839528,  138810000,          0,  150977739, c++, iotlab1, mult, 25
1678927.exe ,  2.97,  1.42,  1.38,  0.07,  0.00,  138366130,  138344000,          0,  150458461, c++, iotlab1, mult, 25
1678927.exe ,  2.98,  1.44,  1.40,  0.07,  0.00,  138437790,  137396000,    1002000,  150463948, c++, iotlab1, mult, 25
1678927.exe ,  3.00,  1.42,  1.38,  0.07,  0.00,  138694744,  137662000,     997000,  150835980, c++, iotlab1, mult, 25
1678927.exe ,  3.03,  1.43,  1.39,  0.07,  0.00,  138539837,  138353000,          0,  150537710, c++, iotlab1, mult, 25
1678927.exe ,  3.04,  1.42,  1.37,  0.07,  0.00,  138199143,  137179000,    1001000,  150275595, c++, iotlab1, mult, 25
1678927.exe ,  2.97,  1.42,  1.38,  0.07,  0.00,  138198888,  136169000,    2002000,  150441284, c++, iotlab1, mult, 25
1678927.exe ,  2.95,  1.40,  1.36,  0.07,  0.00,  138947320,  136854000,    1997000,  151097642, c++, iotlab1, mult, 25
1678927.exe ,  3.00,  1.41,  1.38,  0.07,  0.00,  138530537,  138499000,          0,  150756195, c++, iotlab1, mult, 25
1712113.exe ,  5.61,  2.48,  2.39,  0.19,  0.00,  263245371,  129100000,  134104000,  276766362, c++, iotlab1, mult, 25
1712113.exe ,  5.56,  2.51,  2.42,  0.19,  0.00,  259123322,  127033000,  132034000,  271380484, c++, iotlab1, mult, 25
1712113.exe ,  5.54,  2.52,  2.43,  0.19,  0.00,  258909469,  134886000,  123895000,  271228505, c++, iotlab1, mult, 25
1712113.exe ,  5.49,  2.51,  2.42,  0.19,  0.00,  258448551,  137678000,  120717000,  270655709, c++, iotlab1, mult, 25
1712113.exe ,  5.49,  2.51,  2.42,  0.19,  0.00,  258933613,  117940000,  140928000,  271354166, c++, iotlab1, mult, 25
1712113.exe ,  5.49,  2.51,  2.42,  0.19,  0.00,  258484374,  121200000,  137227000,  270803840, c++, iotlab1, mult, 25
1712113.exe ,  5.54,  2.53,  2.44,  0.19,  0.00,  259752977,  130821000,  128824000,  271989599, c++, iotlab1, mult, 25
1712113.exe ,  5.55,  2.52,  2.43,  0.19,  0.00,  259198918,  124551000,  134515000,  271564188, c++, iotlab1, mult, 25
1712113.exe ,  5.52,  2.52,  2.43,  0.19,  0.00,  259087924,  128007000,  131007000,  271435669, c++, iotlab1, mult, 25
1712113.exe ,  5.53,  2.55,  2.47,  0.19,  0.00,  259419607,  126148000,  133156000,  271827952, c++, iotlab1, mult, 25
1727347.exe ,  6.67,  3.02,  2.91,  0.29,  0.00,  305791741,  149762000,  155752000,  319065795, c++, iotlab1, mult, 25
