file,psys,pkg,cores,ram,gpu,duration_time,user_time,system_time,perf_time,lang,machine,cores,power_limit
entry_10741701.class, 16.95,  7.66,  7.41,  0.80,  0.00,  616449501, 1340799000,  136775000,  669521416, java, iotlab1, sing, 15
entry_10741701.class, 16.20,  7.81,  7.59,  0.76,  0.00,  544327368, 1329402000,  105634000,  556674494, java, iotlab1, sing, 15
entry_10741701.class, 15.65,  7.59,  7.38,  0.74,  0.00,  523006479, 1305015000,  112056000,  535975001, java, iotlab1, sing, 15
entry_10741701.class, 15.86,  7.56,  7.34,  0.76,  0.00,  542785406, 1314677000,  110646000,  555958672, java, iotlab1, sing, 15
entry_10741701.class, 15.96,  7.66,  7.44,  0.75,  0.00,  530262065, 1279447000,  115029000,  542678977, java, iotlab1, sing, 15
entry_10741701.class, 15.94,  7.63,  7.42,  0.75,  0.00,  539178627, 1344083000,   92418000,  551424747, java, iotlab1, sing, 15
entry_10741701.class, 16.22,  7.74,  7.53,  0.76,  0.00,  549423250, 1347385000,   98100000,  562338956, java, iotlab1, sing, 15
entry_10741701.class, 16.01,  7.72,  7.50,  0.75,  0.00,  537942047, 1310829000,  113504000,  550345184, java, iotlab1, sing, 15
entry_10741701.class, 15.99,  7.60,  7.39,  0.76,  0.00,  552229996, 1345642000,  108942000,  565158104, java, iotlab1, sing, 15
entry_10741701.class, 16.12,  7.80,  7.58,  0.75,  0.00,  539229465, 1316339000,  106757000,  551597226, java, iotlab1, sing, 15
entry_10830566.class,  6.50,  3.14,  3.05,  0.24,  0.00,  241757244,  358533000,   44189000,  254087842, java, iotlab1, sing, 15
entry_10830566.class,  6.64,  3.20,  3.12,  0.24,  0.00,  247567462,  369891000,   32164000,  259881560, java, iotlab1, sing, 15
entry_10830566.class,  6.49,  3.19,  3.12,  0.23,  0.00,  240868255,  359343000,   42921000,  253328084, java, iotlab1, sing, 15
entry_10830566.class,  6.87,  3.33,  3.23,  0.24,  0.00,  256452398,  366464000,   37636000,  268877684, java, iotlab1, sing, 15
entry_10830566.class,  6.53,  3.20,  3.11,  0.24,  0.00,  240379794,  355243000,   37813000,  252723143, java, iotlab1, sing, 15
entry_10830566.class,  6.62,  3.20,  3.11,  0.24,  0.00,  243186117,  367208000,   37223000,  255593179, java, iotlab1, sing, 15
entry_10830566.class,  6.64,  3.21,  3.12,  0.24,  0.00,  244749837,  369017000,   30001000,  257125934, java, iotlab1, sing, 15
entry_10830566.class,  6.84,  3.28,  3.18,  0.24,  0.00,  255675767,  354725000,   41317000,  268064112, java, iotlab1, sing, 15
entry_10830566.class,  6.59,  3.21,  3.12,  0.24,  0.00,  240960251,  350931000,   52689000,  253383174, java, iotlab1, sing, 15
entry_10830566.class,  6.56,  3.15,  3.07,  0.24,  0.00,  245367121,  365794000,   39408000,  258532675, java, iotlab1, sing, 15
entry_1117718.class,  8.72,  4.13,  4.01,  0.30,  0.00,  328675438,  473870000,   38582000,  341548177, java, iotlab1, sing, 15
entry_1117718.class,  8.37,  4.10,  4.00,  0.29,  0.00,  300511926,  477706000,   36053000,  313056940, java, iotlab1, sing, 15
entry_1117718.class,  8.24,  4.08,  3.97,  0.29,  0.00,  297584248,  468168000,   41014000,  309796655, java, iotlab1, sing, 15
