file,psys,pkg,cores,ram,gpu,duration_time,user_time,system_time,perf_time,lang,machine,cores,power_limit
1017040.exe ,  1.54,  0.45,  0.42,  0.05,  0.00,  103293206,   44167000,    5888000,  171228323, c++, iotlab1, sing, 10
1017040.exe ,  0.89,  0.41,  0.39,  0.02,  0.00,   40362518,   40325000,          0,   52589641, c++, iotlab1, sing, 10
1017040.exe ,  0.88,  0.39,  0.38,  0.02,  0.00,   40792596,   38762000,    1987000,   53575009, c++, iotlab1, sing, 10
1017040.exe ,  0.87,  0.39,  0.39,  0.02,  0.00,   40579402,   39632000,     990000,   52717070, c++, iotlab1, sing, 10
1017040.exe ,  0.84,  0.39,  0.38,  0.02,  0.00,   39857398,   38896000,     997000,   52034790, c++, iotlab1, sing, 10
1017040.exe ,  0.85,  0.40,  0.38,  0.02,  0.00,   39712776,   37697000,    1984000,   51893343, c++, iotlab1, sing, 10
1017040.exe ,  0.84,  0.38,  0.37,  0.02,  0.00,   41348393,   41363000,          0,   53752266, c++, iotlab1, sing, 10
1017040.exe ,  0.88,  0.41,  0.40,  0.02,  0.00,   42029766,   41049000,    1001000,   54257645, c++, iotlab1, sing, 10
1017040.exe ,  0.85,  0.40,  0.39,  0.02,  0.00,   40252031,   39280000,    1007000,   52586438, c++, iotlab1, sing, 10
1017040.exe ,  0.85,  0.39,  0.39,  0.02,  0.00,   40271985,   40313000,          0,   52411676, c++, iotlab1, sing, 10
1140402.exe ,  0.88,  0.41,  0.39,  0.02,  0.00,   41607659,   40604000,    1015000,   53823693, c++, iotlab1, sing, 10
1140402.exe ,  0.84,  0.36,  0.35,  0.02,  0.00,   42705953,   40754000,    1988000,   55781117, c++, iotlab1, sing, 10
1140402.exe ,  0.84,  0.40,  0.39,  0.02,  0.00,   40352679,   37442000,    2955000,   52465490, c++, iotlab1, sing, 10
1140402.exe ,  0.85,  0.40,  0.39,  0.02,  0.00,   40507994,   39477000,     986000,   52710078, c++, iotlab1, sing, 10
1140402.exe ,  0.84,  0.37,  0.36,  0.02,  0.00,   42091939,   42128000,          0,   54945782, c++, iotlab1, sing, 10
1140402.exe ,  0.86,  0.40,  0.39,  0.02,  0.00,   40792637,   38831000,    1991000,   53557101, c++, iotlab1, sing, 10
1140402.exe ,  0.84,  0.39,  0.39,  0.02,  0.00,   40245945,   40283000,          0,   52399494, c++, iotlab1, sing, 10
1140402.exe ,  0.84,  0.40,  0.38,  0.02,  0.00,   40838631,   40883000,          0,   53032959, c++, iotlab1, sing, 10
1140402.exe ,  0.86,  0.40,  0.38,  0.02,  0.00,   40172800,   38151000,    2007000,   52304241, c++, iotlab1, sing, 10
1140402.exe ,  0.87,  0.39,  0.38,  0.02,  0.00,   41603222,   40648000,     991000,   53679969, c++, iotlab1, sing, 10
1187270.exe ,  0.38,  0.17,  0.16,  0.01,  0.00,   16860877,   14880000,    1984000,   29050219, c++, iotlab1, sing, 10
1187270.exe ,  0.36,  0.17,  0.16,  0.01,  0.00,   16781686,   13839000,    2965000,   29286810, c++, iotlab1, sing, 10
1187270.exe ,  0.36,  0.17,  0.16,  0.01,  0.00,   16828359,   14855000,    1980000,   29085771, c++, iotlab1, sing, 10
1187270.exe ,  0.36,  0.17,  0.16,  0.01,  0.00,   16884927,   15909000,     994000,   29758017, c++, iotlab1, sing, 10
1187270.exe ,  0.36,  0.17,  0.16,  0.01,  0.00,   16619233,   12714000,    3912000,   29054431, c++, iotlab1, sing, 10
1187270.exe ,  0.36,  0.16,  0.16,  0.01,  0.00,   17124284,   15117000,    2015000,   29353011, c++, iotlab1, sing, 10
1187270.exe ,  0.36,  0.17,  0.16,  0.01,  0.00,   16726696,   13711000,    2938000,   29552011, c++, iotlab1, sing, 10
1187270.exe ,  0.35,  0.16,  0.16,  0.01,  0.00,   16499780,   15489000,    1032000,   28729276, c++, iotlab1, sing, 10
1187270.exe ,  0.34,  0.16,  0.16,  0.01,  0.00,   16779403,   15812000,     988000,   29347829, c++, iotlab1, sing, 10
1187270.exe ,  0.36,  0.17,  0.16,  0.01,  0.00,   16618551,   16632000,          0,   28890052, c++, iotlab1, sing, 10
1228057.exe ,  0.86,  0.40,  0.38,  0.02,  0.00,   39951933,   37950000,    2051000,   52215012, c++, iotlab1, sing, 10
1228057.exe ,  0.86,  0.40,  0.38,  0.02,  0.00,   40704661,   39727000,     993000,   52919356, c++, iotlab1, sing, 10
