file,psys,pkg,cores,ram,gpu,duration_time,user_time,system_time,perf_time,lang,machine,cores,power_limit
entry_10065111.class, 10.47,  5.51,  5.39,  0.31,  0.00,  313693785,  639298000,   50101000,  365818830, java, iotlab1, mult, 0
entry_10065111.class,  9.61,  5.48,  5.38,  0.28,  0.00,  258196465,  605794000,   59880000,  272558598, java, iotlab1, mult, 0
entry_10065111.class,  9.54,  5.53,  5.46,  0.27,  0.00,  244862497,  618824000,   49015000,  257285264, java, iotlab1, mult, 0
entry_10065111.class,  9.50,  5.49,  5.39,  0.27,  0.00,  243950199,  608455000,   53836000,  256291196, java, iotlab1, mult, 0
entry_10065111.class,  9.61,  5.58,  5.50,  0.28,  0.00,  245615684,  620442000,   50790000,  258035508, java, iotlab1, mult, 0
entry_10065111.class,  9.62,  5.55,  5.47,  0.27,  0.00,  247890490,  626850000,   43127000,  260310702, java, iotlab1, mult, 0
entry_10065111.class,  9.61,  5.56,  5.47,  0.28,  0.00,  245752177,  621845000,   48455000,  258221523, java, iotlab1, mult, 0
entry_10065111.class,  9.56,  5.52,  5.43,  0.27,  0.00,  246740425,  616504000,   40032000,  259305610, java, iotlab1, mult, 0
entry_10065111.class,  9.61,  5.54,  5.45,  0.28,  0.00,  249091013,  616453000,   41365000,  261489138, java, iotlab1, mult, 0
entry_10065111.class,  9.51,  5.50,  5.42,  0.28,  0.00,  242862208,  625517000,   42761000,  255211600, java, iotlab1, mult, 0
entry_10082871.class,  9.48,  5.09,  5.00,  0.30,  0.00,  283446807,  567097000,   75879000,  298130067, java, iotlab1, mult, 0
entry_10082871.class,  9.43,  5.23,  5.14,  0.28,  0.00,  265288506,  542301000,   54538000,  277616040, java, iotlab1, mult, 0
entry_10082871.class, 10.71,  5.86,  5.75,  0.32,  0.00,  306382247,  617757000,   66512000,  320131027, java, iotlab1, mult, 0
entry_10082871.class,  9.85,  5.50,  5.41,  0.29,  0.00,  266869362,  587458000,   57239000,  279200668, java, iotlab1, mult, 0
entry_10082871.class,  9.51,  5.22,  5.12,  0.29,  0.00,  266291286,  552992000,   73665000,  280182392, java, iotlab1, mult, 0
entry_10082871.class,  9.49,  5.36,  5.26,  0.28,  0.00,  257815752,  572481000,   57146000,  270255934, java, iotlab1, mult, 0
entry_10082871.class,  9.60,  5.20,  5.10,  0.29,  0.00,  279579051,  522782000,   79422000,  293138062, java, iotlab1, mult, 0
entry_10082871.class,  9.19,  5.11,  5.02,  0.27,  0.00,  255243859,  531495000,   54254000,  267616377, java, iotlab1, mult, 0
entry_10082871.class,  9.53,  5.25,  5.15,  0.29,  0.00,  268524110,  562679000,   54161000,  281382762, java, iotlab1, mult, 0
entry_10082871.class,  9.49,  5.27,  5.19,  0.29,  0.00,  260695266,  566727000,   52908000,  273064180, java, iotlab1, mult, 0
entry_10356870.class,  9.32,  5.06,  4.96,  0.29,  0.00,  269100348,  621116000,   51174000,  283543608, java, iotlab1, mult, 0
entry_10356870.class,  9.39,  5.33,  5.23,  0.28,  0.00,  248682234,  603883000,   37804000,  261194895, java, iotlab1, mult, 0
entry_10356870.class,  9.38,  5.27,  5.19,  0.28,  0.00,  252688805,  591320000,   49607000,  265101155, java, iotlab1, mult, 0
entry_10356870.class,  9.14,  5.18,  5.09,  0.27,  0.00,  241259871,  577646000,   52603000,  254935045, java, iotlab1, mult, 0
entry_10356870.class,  9.25,  5.22,  5.13,  0.28,  0.00,  243727579,  573305000,   56622000,  255985447, java, iotlab1, mult, 0
entry_10356870.class,  8.94,  5.11,  5.02,  0.26,  0.00,  232210266,  562573000,   51052000,  244639976, java, iotlab1, mult, 0
entry_10356870.class,  8.95,  5.08,  5.00,  0.26,  0.00,  234649519,  567657000,   43049000,  246983479, java, iotlab1, mult, 0
entry_10356870.class,  9.03,  5.13,  5.04,  0.27,  0.00,  235523005,  574467000,   44035000,  247898995, java, iotlab1, mult, 0
entry_10356870.class,  9.24,  5.16,  5.07,  0.27,  0.00,  237431909,  568388000,   49597000,  249759899, java, iotlab1, mult, 0
entry_10356870.class,  9.24,  5.23,  5.14,  0.27,  0.00,  237798527,  575096000,   60430000,  250162297, java, iotlab1, mult, 0
entry_10398939.class,  8.47,  4.73,  4.65,  0.24,  0.00,  227774651,  541330000,   38808000,  240648077, java, iotlab1, mult, 0
entry_10398939.class,  8.48,  4.73,  4.65,  0.24,  0.00,  229440824,  533951000,   42755000,  243550872, java, iotlab1, mult, 0
entry_10398939.class,  8.59,  4.82,  4.73,  0.24,  0.00,  229613840,  526548000,   46870000,  242001828, java, iotlab1, mult, 0
entry_10398939.class,  8.72,  4.95,  4.87,  0.24,  0.00,  227109383,  546995000,   43157000,  239603406, java, iotlab1, mult, 0
entry_10398939.class,  8.64,  4.82,  4.74,  0.24,  0.00,  232892959,  520797000,   44724000,  245286269, java, iotlab1, mult, 0
entry_10398939.class,  8.49,  4.83,  4.74,  0.24,  0.00,  223819229,  526007000,   45203000,  236417744, java, iotlab1, mult, 0
entry_10398939.class,  8.49,  4.75,  4.67,  0.24,  0.00,  229849006,  515946000,   47717000,  242519457, java, iotlab1, mult, 0
entry_10398939.class,  8.92,  5.00,  4.92,  0.25,  0.00,  239503155,  552550000,   40479000,  251987171, java, iotlab1, mult, 0
entry_10398939.class,  8.85,  4.95,  4.86,  0.25,  0.00,  237238093,  542229000,   43616000,  249761696, java, iotlab1, mult, 0
entry_10398939.class,  8.53,  4.85,  4.77,  0.24,  0.00,  223124401,  535265000,   41097000,  235599429, java, iotlab1, mult, 0
entry_11119075.class,  8.97,  4.96,  4.88,  0.25,  0.00,  246231114,  579996000,   48831000,  259298834, java, iotlab1, mult, 0
entry_11119075.class,  9.07,  5.20,  5.12,  0.24,  0.00,  231422418,  581060000,   30211000,  243769184, java, iotlab1, mult, 0
entry_11119075.class,  9.31,  5.26,  5.17,  0.25,  0.00,  243810269,  578611000,   46806000,  258072266, java, iotlab1, mult, 0
entry_11119075.class,  9.23,  5.28,  5.19,  0.25,  0.00,  235614509,  567675000,   48744000,  248251873, java, iotlab1, mult, 0
entry_11119075.class,  9.02,  5.09,  5.01,  0.24,  0.00,  234852429,  549299000,   41861000,  247279892, java, iotlab1, mult, 0
entry_11119075.class,  8.82,  5.00,  4.92,  0.24,  0.00,  232289591,  541929000,   40843000,  244627211, java, iotlab1, mult, 0
entry_11119075.class,  9.30,  5.29,  5.20,  0.25,  0.00,  240258614,  572000000,   44545000,  252770469, java, iotlab1, mult, 0
entry_11119075.class,  9.34,  5.35,  5.26,  0.27,  0.00,  239197936,  585875000,   50160000,  251565840, java, iotlab1, mult, 0
entry_11119075.class,  8.93,  5.10,  5.03,  0.24,  0.00,  232530036,  564309000,   38224000,  246813638, java, iotlab1, mult, 0
entry_11119075.class,  9.15,  5.20,  5.12,  0.25,  0.00,  241777710,  569731000,   52621000,  256043363, java, iotlab1, mult, 0
entry_11154556.class,  8.38,  4.77,  4.69,  0.26,  0.00,  215327833,  561566000,   43197000,  227771667, java, iotlab1, mult, 0
entry_11154556.class,  8.76,  5.02,  4.93,  0.26,  0.00,  216230662,  564436000,   48208000,  228638926, java, iotlab1, mult, 0
entry_11154556.class,  8.96,  5.00,  4.91,  0.27,  0.00,  239734357,  546166000,   57650000,  252425310, java, iotlab1, mult, 0
entry_11154556.class,  8.48,  4.81,  4.72,  0.25,  0.00,  216379041,  536475000,   49765000,  228712742, java, iotlab1, mult, 0
entry_11154556.class,  8.55,  4.86,  4.78,  0.26,  0.00,  217007251,  554300000,   43257000,  229450803, java, iotlab1, mult, 0
entry_11154556.class,  8.63,  4.92,  4.84,  0.26,  0.00,  217867830,  560792000,   42210000,  230150234, java, iotlab1, mult, 0
entry_11154556.class,  8.63,  4.92,  4.85,  0.26,  0.00,  217671928,  558489000,   45120000,  230102208, java, iotlab1, mult, 0
entry_11154556.class,  8.69,  4.86,  4.77,  0.26,  0.00,  227838401,  564680000,   45092000,  242145388, java, iotlab1, mult, 0
entry_11154556.class,  8.64,  4.93,  4.85,  0.26,  0.00,  216905900,  554181000,   52395000,  229303026, java, iotlab1, mult, 0
entry_11154556.class,  8.44,  4.78,  4.69,  0.25,  0.00,  215593574,  529890000,   51671000,  228215569, java, iotlab1, mult, 0
entry_11590853.class, 11.80,  6.44,  6.33,  0.38,  0.00,  326598135,  798904000,   58211000,  342328670, java, iotlab1, mult, 0
entry_11590853.class, 11.83,  6.68,  6.56,  0.36,  0.00,  300761214,  769599000,   45568000,  313204441, java, iotlab1, mult, 0
entry_11590853.class, 11.98,  6.78,  6.66,  0.37,  0.00,  304458442,  767404000,   54240000,  316894511, java, iotlab1, mult, 0
entry_11590853.class, 11.81,  6.69,  6.57,  0.36,  0.00,  300531957,  752030000,   50881000,  312907764, java, iotlab1, mult, 0
entry_11590853.class, 11.75,  6.60,  6.48,  0.36,  0.00,  301128126,  742527000,   63873000,  313539453, java, iotlab1, mult, 0
entry_11590853.class, 13.43,  7.64,  7.52,  0.39,  0.00,  337988705,  859246000,   56212000,  350359306, java, iotlab1, mult, 0
entry_11590853.class, 12.05,  6.82,  6.71,  0.37,  0.00,  301766257,  785567000,   41345000,  314237482, java, iotlab1, mult, 0
entry_11590853.class, 11.70,  6.64,  6.53,  0.36,  0.00,  289237647,  758396000,   52027000,  301718162, java, iotlab1, mult, 0
entry_11590853.class, 11.64,  6.67,  6.56,  0.36,  0.00,  287872388,  760718000,   51386000,  300289031, java, iotlab1, mult, 0
entry_11590853.class, 11.91,  6.75,  6.63,  0.37,  0.00,  303944009,  758686000,   54263000,  316342502, java, iotlab1, mult, 0
entry_11606185.class,  9.57,  5.11,  5.01,  0.32,  0.00,  276471570,  634812000,   48908000,  289442052, java, iotlab1, mult, 0
entry_11606185.class,  9.52,  5.32,  5.22,  0.29,  0.00,  252030466,  578078000,   43381000,  264337655, java, iotlab1, mult, 0
entry_11606185.class,  9.29,  5.14,  5.04,  0.29,  0.00,  247655361,  547420000,   57043000,  260189730, java, iotlab1, mult, 0
entry_11606185.class,  9.83,  5.49,  5.39,  0.30,  0.00,  258585495,  591238000,   58220000,  270964577, java, iotlab1, mult, 0
entry_11606185.class,  9.68,  5.40,  5.30,  0.30,  0.00,  253289225,  588540000,   52225000,  265572883, java, iotlab1, mult, 0
entry_11606185.class, 10.44,  5.79,  5.69,  0.31,  0.00,  277795044,  622718000,   48743000,  290245838, java, iotlab1, mult, 0
entry_11606185.class,  9.64,  5.38,  5.28,  0.30,  0.00,  252881550,  585693000,   51147000,  265351047, java, iotlab1, mult, 0
entry_11606185.class,  9.25,  5.15,  5.07,  0.29,  0.00,  246518148,  555282000,   53606000,  258847598, java, iotlab1, mult, 0
entry_11606185.class,  9.56,  5.35,  5.26,  0.30,  0.00,  251282371,  598262000,   36136000,  263651211, java, iotlab1, mult, 0
entry_11606185.class,  9.62,  5.35,  5.26,  0.30,  0.00,  254495613,  583281000,   52933000,  266809023, java, iotlab1, mult, 0
entry_11744453.class, 13.44,  7.55,  7.42,  0.41,  0.00,  331701744,  895549000,   49974000,  344284679, java, iotlab1, mult, 0
entry_11744453.class, 12.77,  7.26,  7.15,  0.40,  0.00,  313199131,  853857000,   62842000,  325713097, java, iotlab1, mult, 0
entry_11744453.class, 13.53,  7.69,  7.56,  0.40,  0.00,  341370738,  863834000,   59401000,  353809503, java, iotlab1, mult, 0
entry_11744453.class, 13.00,  7.44,  7.32,  0.41,  0.00,  319173584,  897365000,   50527000,  331726619, java, iotlab1, mult, 0
entry_11744453.class, 12.69,  7.32,  7.19,  0.40,  0.00,  311416252,  872051000,   51297000,  323693497, java, iotlab1, mult, 0
entry_11744453.class, 12.68,  7.19,  7.07,  0.39,  0.00,  315546471,  854388000,   58505000,  328246785, java, iotlab1, mult, 0
entry_11744453.class, 14.29,  8.04,  7.90,  0.42,  0.00,  373294256,  943446000,   46922000,  385765548, java, iotlab1, mult, 0
entry_11744453.class, 12.42,  7.06,  6.95,  0.39,  0.00,  307367164,  849133000,   48695000,  319885252, java, iotlab1, mult, 0
entry_11744453.class, 12.44,  6.98,  6.87,  0.39,  0.00,  315590973,  861302000,   52444000,  328245583, java, iotlab1, mult, 0
entry_11744453.class, 12.60,  7.15,  7.02,  0.40,  0.00,  315702211,  835595000,   65675000,  328188263, java, iotlab1, mult, 0
