file,psys,pkg,cores,ram,gpu,duration_time,user_time,system_time,perf_time,lang,machine,cores,power_limit
1267787.exe ,  2.56,  0.94,  0.89,  0.08,  0.00,  143224730,  103108000,    7931000,  195283569, c++, iotlab1, sing, 8
1267787.exe ,  2.14,  0.88,  0.85,  0.06,  0.00,  111242273,  107161000,    4006000,  123850289, c++, iotlab1, sing, 8
1267787.exe ,  2.09,  0.87,  0.85,  0.06,  0.00,  110544513,  105549000,    4978000,  123292904, c++, iotlab1, sing, 8
1267787.exe ,  2.12,  0.88,  0.85,  0.06,  0.00,  110845335,  107829000,    3023000,  123551137, c++, iotlab1, sing, 8
1267787.exe ,  2.10,  0.88,  0.85,  0.06,  0.00,  110860077,  106867000,    3995000,  123927671, c++, iotlab1, sing, 8
1267787.exe ,  2.13,  0.89,  0.85,  0.06,  0.00,  111287426,  107175000,    4006000,  124076411, c++, iotlab1, sing, 8
1267787.exe ,  2.13,  0.88,  0.85,  0.06,  0.00,  112890305,  109865000,    3023000,  126466378, c++, iotlab1, sing, 8
1267787.exe ,  2.11,  0.89,  0.85,  0.06,  0.00,  111332328,  107306000,    4011000,  125025083, c++, iotlab1, sing, 8
1267787.exe ,  2.10,  0.88,  0.85,  0.06,  0.00,  111389160,  107371000,    4013000,  123988426, c++, iotlab1, sing, 8
1267787.exe ,  2.09,  0.88,  0.85,  0.06,  0.00,  111131331,  107121000,    4004000,  123746770, c++, iotlab1, sing, 8
1327269.exe ,  2.79,  1.13,  1.09,  0.09,  0.00,  148963182,  135961000,   12996000,  162407359, c++, iotlab1, sing, 8
1327269.exe ,  2.77,  1.12,  1.08,  0.09,  0.00,  147576994,  136524000,   11042000,  160742997, c++, iotlab1, sing, 8
1327269.exe ,  2.75,  1.12,  1.07,  0.09,  0.00,  146001561,  140041000,    5959000,  159135867, c++, iotlab1, sing, 8
1327269.exe ,  2.63,  1.07,  1.03,  0.09,  0.00,  140404148,  133391000,    6968000,  153195734, c++, iotlab1, sing, 8
1327269.exe ,  2.62,  1.09,  1.05,  0.08,  0.00,  138871607,  128792000,   10061000,  152245069, c++, iotlab1, sing, 8
1327269.exe ,  2.68,  1.10,  1.06,  0.09,  0.00,  141551835,  129489000,   12045000,  154362718, c++, iotlab1, sing, 8
1327269.exe ,  2.62,  1.08,  1.03,  0.08,  0.00,  137114310,  126064000,   11005000,  149977118, c++, iotlab1, sing, 8
1327269.exe ,  2.71,  1.09,  1.04,  0.09,  0.00,  139937241,  132901000,    7047000,  153395369, c++, iotlab1, sing, 8
1327269.exe ,  2.60,  1.05,  1.01,  0.08,  0.00,  136385113,  131361000,    5013000,  149776526, c++, iotlab1, sing, 8
1327269.exe ,  2.66,  1.09,  1.05,  0.09,  0.00,  139201208,  131136000,    8008000,  152704145, c++, iotlab1, sing, 8
1343486.exe ,  2.15,  0.90,  0.87,  0.06,  0.00,  113762898,  111692000,    1994000,  126676572, c++, iotlab1, sing, 8
1343486.exe ,  2.10,  0.89,  0.86,  0.06,  0.00,  111747150,  109717000,    2013000,  125050567, c++, iotlab1, sing, 8
1343486.exe ,  2.10,  0.89,  0.86,  0.06,  0.00,  111319347,  109267000,    2004000,  124651223, c++, iotlab1, sing, 8
1343486.exe ,  2.13,  0.89,  0.85,  0.06,  0.00,  112498680,  106522000,    5973000,  126080383, c++, iotlab1, sing, 8
1343486.exe ,  2.11,  0.88,  0.85,  0.06,  0.00,  111491617,  109484000,    2008000,  124381928, c++, iotlab1, sing, 8
