file,psys,pkg,cores,ram,gpu,duration_time,user_time,system_time,perf_time,lang,machine,cores,power_limit
entry_1064081.class,  9.28,  4.79,  4.68,  0.28,  0.00,  320332448,  520866000,   49366000,  359129336, java, iotlab1, sing, 25
entry_1064081.class,  8.42,  4.79,  4.69,  0.25,  0.00,  254410286,  510717000,   42391000,  266864301, java, iotlab1, sing, 25
entry_1064081.class,  8.34,  4.77,  4.68,  0.24,  0.00,  250563324,  508300000,   45294000,  262832755, java, iotlab1, sing, 25
entry_1064081.class,  8.35,  4.79,  4.70,  0.24,  0.00,  250596865,  513908000,   40149000,  263064777, java, iotlab1, sing, 25
entry_1064081.class,  8.34,  4.76,  4.67,  0.24,  0.00,  252557747,  511088000,   40322000,  264809805, java, iotlab1, sing, 25
entry_1064081.class,  8.24,  4.72,  4.63,  0.24,  0.00,  248819861,  499374000,   42371000,  261101522, java, iotlab1, sing, 25
entry_1064081.class,  8.51,  4.88,  4.80,  0.25,  0.00,  255551806,  524333000,   38876000,  267918916, java, iotlab1, sing, 25
entry_1064081.class,  8.36,  4.76,  4.67,  0.25,  0.00,  251766199,  521589000,   31154000,  264059714, java, iotlab1, sing, 25
entry_1064081.class,  8.33,  4.70,  4.61,  0.24,  0.00,  251717472,  517524000,   39039000,  264068981, java, iotlab1, sing, 25
entry_1064081.class,  8.39,  4.78,  4.70,  0.24,  0.00,  252956482,  520437000,   34895000,  265212315, java, iotlab1, sing, 25
entry_10660164.class,  4.96,  2.80,  2.75,  0.12,  0.00,  153903568,  288983000,   30207000,  166173037, java, iotlab1, sing, 25
entry_10660164.class,  4.32,  2.46,  2.42,  0.11,  0.00,  131247337,  248410000,   39587000,  143528236, java, iotlab1, sing, 25
entry_10660164.class,  4.29,  2.46,  2.41,  0.11,  0.00,  128774767,  259880000,   26781000,  141334899, java, iotlab1, sing, 25
entry_10660164.class,  4.18,  2.37,  2.33,  0.10,  0.00,  128138269,  256173000,   19087000,  140539362, java, iotlab1, sing, 25
entry_10660164.class,  4.34,  2.47,  2.42,  0.11,  0.00,  131300683,  261468000,   22779000,  143838099, java, iotlab1, sing, 25
entry_10660164.class,  4.22,  2.38,  2.34,  0.11,  0.00,  130629589,  252964000,   26203000,  143716239, java, iotlab1, sing, 25
