file,psys,pkg,cores,ram,gpu,duration_time,user_time,system_time,perf_time,lang,machine,cores,power_limit
entry_10230822.class,  2.56,  0.81,  0.77,  0.08,  0.00,  132417638,  100426000,   18892000,  176273413, java, iotlab1, mult, 15
entry_10230822.class,  1.53,  0.71,  0.69,  0.04,  0.00,   59142630,   73061000,   17014000,   71488809, java, iotlab1, mult, 15
entry_10230822.class,  1.52,  0.70,  0.68,  0.04,  0.00,   58902515,   74293000,   15265000,   71292366, java, iotlab1, mult, 15
entry_10230822.class,  1.50,  0.68,  0.66,  0.04,  0.00,   61192438,   80838000,   12279000,   73825593, java, iotlab1, mult, 15
entry_10230822.class,  1.51,  0.71,  0.70,  0.04,  0.00,   59421256,   74954000,   15779000,   71891791, java, iotlab1, mult, 15
entry_10230822.class,  1.51,  0.71,  0.69,  0.04,  0.00,   59175871,   72418000,   16414000,   71665420, java, iotlab1, mult, 15
entry_10230822.class,  1.55,  0.71,  0.69,  0.04,  0.00,   59833072,   75221000,   14846000,   72329110, java, iotlab1, mult, 15
entry_10230822.class,  1.49,  0.66,  0.64,  0.04,  0.00,   61055936,   83333000,    8823000,   74292422, java, iotlab1, mult, 15
entry_10230822.class,  1.51,  0.69,  0.67,  0.04,  0.00,   60143508,   80485000,   11066000,   72851016, java, iotlab1, mult, 15
entry_10230822.class,  1.56,  0.72,  0.69,  0.04,  0.00,   59477782,   84822000,    5987000,   71945361, java, iotlab1, mult, 15
entry_1034575.class,  3.08,  1.48,  1.44,  0.08,  0.00,  111805745,  210748000,   21870000,  126063399, java, iotlab1, mult, 15
entry_1034575.class,  3.00,  1.44,  1.40,  0.08,  0.00,  108565781,  202627000,   22623000,  121011398, java, iotlab1, mult, 15
entry_1034575.class,  2.98,  1.44,  1.40,  0.08,  0.00,  107267658,  200955000,   22328000,  119682486, java, iotlab1, mult, 15
entry_1034575.class,  2.98,  1.44,  1.40,  0.08,  0.00,  107997095,  209187000,   15938000,  120454093, java, iotlab1, mult, 15
entry_1034575.class,  3.08,  1.50,  1.46,  0.08,  0.00,  112056148,  221706000,   19060000,  124501727, java, iotlab1, mult, 15
entry_1034575.class,  2.85,  1.36,  1.32,  0.08,  0.00,  106070914,  199002000,   16831000,  118451552, java, iotlab1, mult, 15
entry_1034575.class,  2.94,  1.41,  1.37,  0.08,  0.00,  107257931,  205782000,   16061000,  119704070, java, iotlab1, mult, 15
