file,psys,pkg,cores,ram,gpu,duration_time,user_time,system_time,perf_time,lang,machine,cores,power_limit
1091584.exe ,  2.82,  1.21,  1.17,  0.08,  0.00,  142533913,  135245000,    4007000,  201518966, c++, iotlab1, sing, 0
1091584.exe ,  2.74,  1.22,  1.17,  0.07,  0.00,  138670569,  135804000,    2995000,  150885257, c++, iotlab1, sing, 0
1091584.exe ,  2.72,  1.20,  1.16,  0.07,  0.00,  138669625,  136782000,    1996000,  150875792, c++, iotlab1, sing, 0
1091584.exe ,  2.73,  1.20,  1.16,  0.07,  0.00,  138371612,  136425000,    2006000,  150612544, c++, iotlab1, sing, 0
1091584.exe ,  2.74,  1.21,  1.17,  0.07,  0.00,  138638553,  136758000,    2011000,  150985279, c++, iotlab1, sing, 0
1091584.exe ,  2.74,  1.22,  1.18,  0.07,  0.00,  138515263,  133652000,    4987000,  150729927, c++, iotlab1, sing, 0
1091584.exe ,  2.72,  1.20,  1.16,  0.07,  0.00,  138515007,  136668000,    1995000,  150813633, c++, iotlab1, sing, 0
1091584.exe ,  2.76,  1.22,  1.18,  0.07,  0.00,  139204198,  136317000,    3007000,  151504803, c++, iotlab1, sing, 0
1091584.exe ,  2.74,  1.21,  1.17,  0.07,  0.00,  138696581,  134829000,    3994000,  150813813, c++, iotlab1, sing, 0
1091584.exe ,  2.72,  1.20,  1.16,  0.07,  0.00,  139463111,  136625000,    2991000,  151501763, c++, iotlab1, sing, 0
1680187.exe ,  3.05,  1.45,  1.41,  0.07,  0.00,  141960013,  139117000,    2981000,  154415781, c++, iotlab1, sing, 0
1680187.exe ,  3.03,  1.43,  1.38,  0.07,  0.00,  141879794,  140033000,    1986000,  154016037, c++, iotlab1, sing, 0
1680187.exe ,  2.98,  1.42,  1.38,  0.07,  0.00,  141158811,  138267000,    3005000,  153500511, c++, iotlab1, sing, 0
1680187.exe ,  3.01,  1.44,  1.39,  0.07,  0.00,  141247742,  138270000,    3005000,  153483180, c++, iotlab1, sing, 0
1680187.exe ,  2.98,  1.42,  1.38,  0.07,  0.00,  141071963,  140177000,    1001000,  153334760, c++, iotlab1, sing, 0
1680187.exe ,  2.98,  1.43,  1.39,  0.07,  0.00,  140995162,  137064000,    4001000,  153205024, c++, iotlab1, sing, 0
1680187.exe ,  2.99,  1.43,  1.39,  0.07,  0.00,  140680952,  136733000,    3992000,  152993813, c++, iotlab1, sing, 0
1680187.exe ,  2.98,  1.43,  1.38,  0.07,  0.00,  141394742,  140506000,    1003000,  153569002, c++, iotlab1, sing, 0
1680187.exe ,  3.00,  1.43,  1.39,  0.07,  0.00,  141115718,  139232000,    2003000,  153648327, c++, iotlab1, sing, 0
1680187.exe ,  2.99,  1.44,  1.40,  0.07,  0.00,  141241177,  140349000,    1002000,  153623017, c++, iotlab1, sing, 0
1723554.exe ,  2.77,  1.28,  1.24,  0.07,  0.00,  129864950,  123840000,    6041000,  146016567, c++, iotlab1, sing, 0
1723554.exe ,  2.70,  1.27,  1.24,  0.07,  0.00,  128975042,  120065000,    9004000,  141182864, c++, iotlab1, sing, 0
1723554.exe ,  2.69,  1.27,  1.23,  0.07,  0.00,  128185604,  124192000,    4006000,  140440561, c++, iotlab1, sing, 0
1723554.exe ,  2.70,  1.27,  1.24,  0.07,  0.00,  128516866,  121632000,    6978000,  140850139, c++, iotlab1, sing, 0
1723554.exe ,  2.73,  1.28,  1.24,  0.07,  0.00,  128522001,  126599000,    2009000,  140772345, c++, iotlab1, sing, 0
1723554.exe ,  2.69,  1.26,  1.22,  0.07,  0.00,  128264386,  122343000,    6016000,  140560357, c++, iotlab1, sing, 0
1723554.exe ,  2.66,  1.26,  1.22,  0.07,  0.00,  128217081,  120262000,    7951000,  140565612, c++, iotlab1, sing, 0
1723554.exe ,  2.67,  1.27,  1.23,  0.07,  0.00,  127957890,  121970000,    5998000,  140264412, c++, iotlab1, sing, 0
1723554.exe ,  2.70,  1.27,  1.24,  0.07,  0.00,  128349809,  124433000,    4013000,  140547874, c++, iotlab1, sing, 0
1723554.exe ,  2.68,  1.27,  1.23,  0.07,  0.00,  128110869,  124168000,    4005000,  140398868, c++, iotlab1, sing, 0
1727828.exe ,  6.69,  3.00,  2.88,  0.33,  0.00,  306339440,  151275000,  155282000,  321511710, c++, iotlab1, sing, 0
1727828.exe ,  6.62,  2.98,  2.86,  0.32,  0.00,  303734254,  142965000,  160961000,  316081038, c++, iotlab1, sing, 0
1727828.exe ,  6.61,  2.99,  2.87,  0.33,  0.00,  304048380,  149116000,  155120000,  316292059, c++, iotlab1, sing, 0
1727828.exe ,  6.61,  3.00,  2.88,  0.32,  0.00,  304722181,  147971000,  156969000,  317105079, c++, iotlab1, sing, 0
1727828.exe ,  6.63,  3.03,  2.91,  0.33,  0.00,  304767644,  158979000,  145980000,  317162328, c++, iotlab1, sing, 0
1727828.exe ,  6.64,  2.99,  2.88,  0.32,  0.00,  304394139,  139848000,  164821000,  316769912, c++, iotlab1, sing, 0
1727828.exe ,  6.68,  3.01,  2.88,  0.32,  0.00,  305226950,  146207000,  159225000,  317600821, c++, iotlab1, sing, 0
1727828.exe ,  6.61,  2.99,  2.87,  0.32,  0.00,  304647147,  147931000,  156927000,  317027288, c++, iotlab1, sing, 0
1727828.exe ,  6.62,  2.98,  2.86,  0.33,  0.00,  304633898,  161911000,  142921000,  316897333, c++, iotlab1, sing, 0
