file,psys,pkg,cores,ram,gpu,duration_time,user_time,system_time,perf_time,lang,machine,cores,power_limit
entry_10041984.class,  8.62,  3.78,  3.65,  0.23,  0.00,  427420062,  324430000,   16866000,  473862374, java, iotlab1, sing, 25
entry_10041984.class,  7.38,  3.81,  3.72,  0.17,  0.00,  313863333,  302939000,    9998000,  326376955, java, iotlab1, sing, 25
entry_10041984.class,  7.40,  3.84,  3.75,  0.17,  0.00,  314449253,  299408000,   13925000,  327073186, java, iotlab1, sing, 25
entry_10041984.class,  7.33,  3.78,  3.68,  0.17,  0.00,  310470614,  299994000,    8969000,  322480784, java, iotlab1, sing, 25
entry_10041984.class,  7.35,  3.77,  3.66,  0.17,  0.00,  312517868,  297735000,   11909000,  324428862, java, iotlab1, sing, 25
entry_10041984.class,  7.32,  3.77,  3.67,  0.17,  0.00,  311129340,  296202000,   11967000,  323034920, java, iotlab1, sing, 25
entry_10041984.class,  7.39,  3.82,  3.73,  0.17,  0.00,  312879137,  304667000,    6992000,  325040133, java, iotlab1, sing, 25
entry_10041984.class,  7.42,  3.82,  3.72,  0.17,  0.00,  313171744,  302735000,    8992000,  325199015, java, iotlab1, sing, 25
entry_10041984.class,  7.39,  3.84,  3.75,  0.17,  0.00,  313913569,  303812000,    8994000,  326296427, java, iotlab1, sing, 25
entry_10041984.class,  7.39,  3.79,  3.69,  0.17,  0.00,  312815142,  305911000,    5998000,  325386694, java, iotlab1, sing, 25
entry_10232436.class,  7.73,  3.88,  3.78,  0.28,  0.00,  310932488,  301086000,    8002000,  322812004, java, iotlab1, sing, 25
entry_10232436.class,  7.20,  3.62,  3.52,  0.26,  0.00,  287111389,  277186000,    9006000,  299766635, java, iotlab1, sing, 25
entry_10232436.class,  7.71,  3.90,  3.78,  0.27,  0.00,  310357937,  296360000,   13059000,  322773945, java, iotlab1, sing, 25
entry_10232436.class,  7.68,  3.88,  3.78,  0.27,  0.00,  309636230,  295948000,   11997000,  321571422, java, iotlab1, sing, 25
entry_10232436.class,  7.72,  3.90,  3.79,  0.27,  0.00,  312505599,  293478000,   16969000,  324279072, java, iotlab1, sing, 25
entry_10232436.class,  7.61,  3.83,  3.74,  0.26,  0.00,  307217756,  293781000,   12031000,  319206644, java, iotlab1, sing, 25
entry_10232436.class,  7.71,  3.88,  3.77,  0.27,  0.00,  310970665,  297406000,   12057000,  323000198, java, iotlab1, sing, 25
entry_10232436.class,  7.63,  3.83,  3.73,  0.26,  0.00,  307515427,  295946000,    9964000,  319640236, java, iotlab1, sing, 25
entry_10232436.class,  7.70,  3.89,  3.78,  0.27,  0.00,  311085659,  302277000,    7006000,  322895006, java, iotlab1, sing, 25
entry_10232436.class,  7.15,  3.57,  3.48,  0.26,  0.00,  286171512,  273267000,   11051000,  298178277, java, iotlab1, sing, 25
entry_10266345.class,  7.33,  3.75,  3.66,  0.17,  0.00,  307036472,  292660000,   12984000,  319062850, java, iotlab1, sing, 25
entry_10266345.class,  7.48,  3.77,  3.67,  0.18,  0.00,  317846232,  296268000,    9975000,  330005438, java, iotlab1, sing, 25
entry_10266345.class,  7.32,  3.76,  3.66,  0.17,  0.00,  304801879,  289280000,   13965000,  317179146, java, iotlab1, sing, 25
entry_10266345.class,  7.41,  3.81,  3.72,  0.17,  0.00,  310091427,  288452000,   19962000,  321843744, java, iotlab1, sing, 25
entry_10266345.class,  7.66,  3.81,  3.71,  0.18,  0.00,  322321799,  299108000,   11003000,  334618173, java, iotlab1, sing, 25
entry_10266345.class,  7.48,  3.79,  3.69,  0.18,  0.00,  317414531,  288199000,   16952000,  329501046, java, iotlab1, sing, 25
entry_10266345.class,  7.42,  3.75,  3.66,  0.18,  0.00,  316804359,  294078000,   10965000,  328746214, java, iotlab1, sing, 25
entry_10266345.class,  7.34,  3.74,  3.64,  0.17,  0.00,  306813476,  292060000,   12958000,  318539259, java, iotlab1, sing, 25
entry_10266345.class,  7.30,  3.72,  3.63,  0.17,  0.00,  306303715,  294642000,    8958000,  317984269, java, iotlab1, sing, 25
entry_10266345.class,  7.58,  3.82,  3.72,  0.18,  0.00,  320866541,  295392000,   14969000,  332988261, java, iotlab1, sing, 25
entry_10381952.class,  6.51,  3.08,  2.99,  0.17,  0.00,  295516911,  242976000,   13941000,  307470367, java, iotlab1, sing, 25
entry_10381952.class,  6.06,  3.06,  2.97,  0.15,  0.00,  257085688,  243208000,   11912000,  269013832, java, iotlab1, sing, 25
entry_10381952.class,  5.96,  3.02,  2.94,  0.15,  0.00,  253255126,  239211000,   13066000,  265592634, java, iotlab1, sing, 25
entry_10381952.class,  5.97,  3.05,  2.96,  0.15,  0.00,  254047686,  239761000,   12987000,  266183308, java, iotlab1, sing, 25
entry_10381952.class,  6.05,  3.08,  2.99,  0.15,  0.00,  256979774,  237543000,   18041000,  269020917, java, iotlab1, sing, 25
entry_10381952.class,  5.96,  3.01,  2.93,  0.15,  0.00,  253247606,  240927000,   11042000,  265662559, java, iotlab1, sing, 25
entry_10381952.class,  6.02,  3.03,  2.94,  0.15,  0.00,  254831243,  239534000,   13972000,  267029448, java, iotlab1, sing, 25
entry_10381952.class,  5.97,  2.99,  2.92,  0.15,  0.00,  253187276,  236368000,   16093000,  265776327, java, iotlab1, sing, 25
entry_10381952.class,  5.98,  2.98,  2.89,  0.15,  0.00,  252882465,  238302000,   12015000,  264741366, java, iotlab1, sing, 25
entry_10381952.class,  5.94,  2.98,  2.90,  0.15,  0.00,  251921102,  239710000,   11032000,  264395359, java, iotlab1, sing, 25
entry_10626078.class,  5.99,  3.05,  2.98,  0.15,  0.00,  255899807,  237432000,   17030000,  268011376, java, iotlab1, sing, 25
entry_10626078.class,  5.98,  3.00,  2.93,  0.15,  0.00,  254859887,  238961000,   15060000,  267449913, java, iotlab1, sing, 25
entry_10626078.class,  5.95,  3.01,  2.93,  0.15,  0.00,  253141006,  236769000,   15048000,  265708699, java, iotlab1, sing, 25
entry_10626078.class,  5.93,  3.00,  2.93,  0.14,  0.00,  252872008,  239642000,   12032000,  265220439, java, iotlab1, sing, 25
entry_10626078.class,  5.99,  3.00,  2.92,  0.15,  0.00,  254207619,  239749000,   12986000,  266250362, java, iotlab1, sing, 25
entry_10626078.class,  6.05,  3.05,  2.97,  0.15,  0.00,  257077918,  243668000,   11983000,  269084960, java, iotlab1, sing, 25
entry_10626078.class,  6.20,  3.12,  3.04,  0.15,  0.00,  263104228,  246892000,   15054000,  275496677, java, iotlab1, sing, 25
entry_10626078.class,  6.00,  3.03,  2.96,  0.15,  0.00,  255242177,  242136000,   12056000,  267703525, java, iotlab1, sing, 25
entry_10626078.class,  5.98,  3.02,  2.94,  0.15,  0.00,  254047841,  233815000,   18904000,  266122336, java, iotlab1, sing, 25
entry_10626078.class,  6.18,  3.01,  2.93,  0.16,  0.00,  270437505,  242531000,   10021000,  282851900, java, iotlab1, sing, 25
entry_10645029.class,  5.98,  2.97,  2.90,  0.15,  0.00,  254097112,  236775000,   15984000,  266192573, java, iotlab1, sing, 25
entry_10645029.class,  6.03,  3.00,  2.92,  0.15,  0.00,  255272695,  238072000,   16072000,  267672948, java, iotlab1, sing, 25
