file,psys,pkg,cores,ram,gpu,duration_time,user_time,system_time,perf_time,lang,machine,cores,power_limit
1285040.exe ,  7.17,  2.81,  2.68,  0.20,  0.00,  401333621,  393294000,    2001000,  452390774, c++, iotlab1, sing, 25
1285040.exe ,  7.07,  2.86,  2.74,  0.20,  0.00,  394083340,  391148000,    4011000,  406447448, c++, iotlab1, sing, 25
1285040.exe ,  7.02,  2.79,  2.68,  0.20,  0.00,  394041728,  392202000,    3009000,  406316369, c++, iotlab1, sing, 25
1285040.exe ,  7.04,  2.81,  2.68,  0.20,  0.00,  394252078,  392362000,    3010000,  406471938, c++, iotlab1, sing, 25
1285040.exe ,  7.05,  2.80,  2.68,  0.20,  0.00,  394007403,  384097000,   11031000,  406256150, c++, iotlab1, sing, 25
1285040.exe ,  7.06,  2.83,  2.71,  0.20,  0.00,  394912221,  387838000,    8017000,  407250848, c++, iotlab1, sing, 25
1285040.exe ,  7.07,  2.84,  2.71,  0.20,  0.00,  394336544,  389379000,    6005000,  406792539, c++, iotlab1, sing, 25
1285040.exe ,  7.06,  2.85,  2.72,  0.20,  0.00,  394548629,  393559000,    2002000,  406756867, c++, iotlab1, sing, 25
1285040.exe ,  7.05,  2.86,  2.75,  0.20,  0.00,  394215707,  370251000,   25017000,  406563923, c++, iotlab1, sing, 25
1285040.exe ,  7.06,  2.86,  2.73,  0.20,  0.00,  395291794,  391234000,    5015000,  407592496, c++, iotlab1, sing, 25
1369343.exe ,  9.65,  4.76,  4.61,  0.23,  0.00,  449276970,  443265000,    7020000,  461499571, c++, iotlab1, sing, 25
1369343.exe ,  9.60,  4.73,  4.60,  0.23,  0.00,  448989758,  443931000,    6012000,  461327656, c++, iotlab1, sing, 25
1369343.exe ,  9.55,  4.73,  4.59,  0.23,  0.00,  449005940,  444869000,    5021000,  461188633, c++, iotlab1, sing, 25
1369343.exe ,  9.64,  4.71,  4.57,  0.23,  0.00,  449026117,  443898000,    6012000,  461396268, c++, iotlab1, sing, 25
1369343.exe ,  9.59,  4.73,  4.59,  0.23,  0.00,  448824711,  442711000,    7011000,  461056911, c++, iotlab1, sing, 25
1369343.exe ,  9.66,  4.78,  4.64,  0.24,  0.00,  449775380,  443541000,    7008000,  462218593, c++, iotlab1, sing, 25
1369343.exe ,  9.60,  4.74,  4.60,  0.23,  0.00,  449000288,  442788000,    7012000,  461230423, c++, iotlab1, sing, 25
