file,psys,pkg,cores,ram,gpu,duration_time,user_time,system_time,perf_time,lang,machine,cores,power_limit
entry_10005437.class,  9.10,  3.94,  3.81,  0.29,  0.00,  395777963,  340243000,   73126000,  459548150, java, iotlab1, mult, 25
entry_10005437.class,  7.67,  3.92,  3.82,  0.23,  0.00,  276354685,  307535000,   72125000,  289405259, java, iotlab1, mult, 25
entry_10005437.class,  7.62,  3.97,  3.88,  0.22,  0.00,  266271440,  305254000,   68280000,  279144583, java, iotlab1, mult, 25
entry_10005437.class,  7.49,  3.88,  3.78,  0.22,  0.00,  265503294,  296113000,   63024000,  277946433, java, iotlab1, mult, 25
entry_10005437.class,  7.58,  3.94,  3.85,  0.22,  0.00,  265420979,  299419000,   72100000,  277754880, java, iotlab1, mult, 25
entry_10005437.class,  7.46,  3.82,  3.73,  0.22,  0.00,  268395973,  296483000,   66436000,  281270192, java, iotlab1, mult, 25
entry_10005437.class,  7.63,  3.97,  3.88,  0.22,  0.00,  266897633,  302811000,   69577000,  279805858, java, iotlab1, mult, 25
entry_10005437.class,  7.65,  3.93,  3.83,  0.23,  0.00,  273305952,  312416000,   67305000,  286167641, java, iotlab1, mult, 25
entry_10005437.class,  7.63,  3.98,  3.89,  0.22,  0.00,  266999434,  295615000,   75874000,  279465949, java, iotlab1, mult, 25
entry_10005437.class,  7.66,  3.96,  3.87,  0.23,  0.00,  267809762,  307179000,   67258000,  280197848, java, iotlab1, mult, 25
entry_10102008.class,  7.11,  3.55,  3.46,  0.22,  0.00,  242190807,  268744000,   77925000,  255106204, java, iotlab1, mult, 25
entry_10102008.class,  6.99,  3.54,  3.46,  0.21,  0.00,  234383907,  266971000,   72262000,  246871410, java, iotlab1, mult, 25
entry_10102008.class,  6.85,  3.54,  3.45,  0.21,  0.00,  234536409,  269521000,   70874000,  246971696, java, iotlab1, mult, 25
entry_10102008.class,  6.90,  3.49,  3.41,  0.21,  0.00,  240844998,  272954000,   73183000,  253752425, java, iotlab1, mult, 25
entry_10102008.class,  6.86,  3.53,  3.45,  0.21,  0.00,  233669554,  273706000,   64286000,  246117259, java, iotlab1, mult, 25
entry_10102008.class,  6.80,  3.53,  3.45,  0.21,  0.00,  233419949,  265551000,   72975000,  245690060, java, iotlab1, mult, 25
entry_10102008.class,  6.82,  3.54,  3.45,  0.21,  0.00,  234046302,  256678000,   82574000,  246420074, java, iotlab1, mult, 25
entry_10102008.class,  6.84,  3.55,  3.47,  0.21,  0.00,  235401474,  259661000,   78897000,  247858778, java, iotlab1, mult, 25
entry_10102008.class,  6.81,  3.55,  3.47,  0.21,  0.00,  235050377,  267672000,   70649000,  248063949, java, iotlab1, mult, 25
entry_10102008.class,  6.82,  3.53,  3.46,  0.21,  0.00,  233695706,  266875000,   71502000,  246009628, java, iotlab1, mult, 25
entry_10272169.class,  5.74,  2.90,  2.83,  0.18,  0.00,  204243350,  203998000,   67329000,  216715469, java, iotlab1, mult, 25
entry_10272169.class,  5.80,  2.87,  2.79,  0.19,  0.00,  211831650,  213938000,   61982000,  224600371, java, iotlab1, mult, 25
entry_10272169.class,  5.73,  2.92,  2.86,  0.19,  0.00,  204601561,  212613000,   59766000,  216977802, java, iotlab1, mult, 25
entry_10272169.class,  5.79,  2.91,  2.84,  0.19,  0.00,  206385165,  203978000,   69963000,  218751449, java, iotlab1, mult, 25
entry_10272169.class,  5.82,  2.94,  2.87,  0.19,  0.00,  206965459,  209113000,   65721000,  219374833, java, iotlab1, mult, 25
entry_10272169.class,  5.75,  2.90,  2.83,  0.19,  0.00,  204671651,  206332000,   66783000,  217001147, java, iotlab1, mult, 25
entry_10272169.class,  5.63,  2.80,  2.73,  0.18,  0.00,  203753689,  196688000,   64224000,  216463128, java, iotlab1, mult, 25
entry_10272169.class,  5.83,  2.94,  2.86,  0.19,  0.00,  207537360,  204438000,   69784000,  220072644, java, iotlab1, mult, 25
entry_10272169.class,  5.97,  2.96,  2.89,  0.19,  0.00,  216383487,  208431000,   64514000,  228906845, java, iotlab1, mult, 25
entry_10272169.class,  5.77,  2.89,  2.82,  0.19,  0.00,  206520191,  205576000,   66185000,  218869945, java, iotlab1, mult, 25
entry_10554599.class,  5.84,  2.96,  2.90,  0.19,  0.00,  203712101,  209357000,   69454000,  216209781, java, iotlab1, mult, 25
entry_10554599.class,  5.83,  2.97,  2.90,  0.19,  0.00,  202972167,  206381000,   72782000,  215360659, java, iotlab1, mult, 25
entry_10554599.class,  5.83,  2.97,  2.90,  0.19,  0.00,  203809341,  209664000,   69228000,  216190121, java, iotlab1, mult, 25
entry_10554599.class,  5.87,  2.95,  2.88,  0.19,  0.00,  211193478,  211097000,   76397000,  224056918, java, iotlab1, mult, 25
entry_10554599.class,  5.82,  2.97,  2.89,  0.19,  0.00,  203402259,  214871000,   63961000,  215906998, java, iotlab1, mult, 25
entry_10554599.class,  5.89,  3.01,  2.93,  0.19,  0.00,  207767722,  212499000,   70155000,  220222088, java, iotlab1, mult, 25
entry_10554599.class,  5.88,  2.99,  2.92,  0.19,  0.00,  206852820,  220344000,   58623000,  219383849, java, iotlab1, mult, 25
entry_10554599.class,  5.81,  2.97,  2.91,  0.19,  0.00,  203552825,  214346000,   64708000,  215936240, java, iotlab1, mult, 25
entry_10554599.class,  5.92,  2.99,  2.92,  0.19,  0.00,  207609133,  206911000,   74327000,  219951010, java, iotlab1, mult, 25
entry_10554599.class,  5.88,  2.99,  2.92,  0.19,  0.00,  204189388,  206683000,   73599000,  216661252, java, iotlab1, mult, 25
entry_11240133.class,  6.62,  3.34,  3.26,  0.20,  0.00,  235720232,  262647000,   61916000,  248530354, java, iotlab1, mult, 25
entry_11240133.class,  6.38,  3.20,  3.12,  0.20,  0.00,  224504281,  243085000,   78382000,  238108843, java, iotlab1, mult, 25
entry_11240133.class,  6.71,  3.42,  3.34,  0.21,  0.00,  231775045,  261638000,   67422000,  244149617, java, iotlab1, mult, 25
entry_11240133.class,  6.49,  3.33,  3.25,  0.20,  0.00,  221272271,  253954000,   67043000,  233658632, java, iotlab1, mult, 25
entry_11240133.class,  6.64,  3.33,  3.25,  0.21,  0.00,  228728732,  259127000,   66519000,  241231180, java, iotlab1, mult, 25
entry_11240133.class,  6.69,  3.43,  3.34,  0.21,  0.00,  229411829,  261512000,   71413000,  241867974, java, iotlab1, mult, 25
entry_11240133.class,  6.70,  3.43,  3.34,  0.21,  0.00,  229464102,  249157000,   80727000,  241939014, java, iotlab1, mult, 25
entry_11240133.class,  6.55,  3.33,  3.26,  0.20,  0.00,  225564077,  259226000,   68009000,  237910908, java, iotlab1, mult, 25
entry_11240133.class,  6.65,  3.35,  3.26,  0.21,  0.00,  233880986,  267215000,   65580000,  246207903, java, iotlab1, mult, 25
entry_11240133.class,  6.64,  3.38,  3.30,  0.21,  0.00,  228739292,  263365000,   64828000,  241321357, java, iotlab1, mult, 25
entry_1125214.class,  6.73,  3.45,  3.37,  0.20,  0.00,  228031349,  269194000,   64525000,  240413548, java, iotlab1, mult, 25
entry_1125214.class,  6.83,  3.49,  3.41,  0.20,  0.00,  236510047,  268084000,   63311000,  249047409, java, iotlab1, mult, 25
entry_1125214.class,  7.03,  3.60,  3.52,  0.21,  0.00,  241129622,  268405000,   77116000,  253552701, java, iotlab1, mult, 25
entry_1125214.class,  6.77,  3.43,  3.34,  0.21,  0.00,  235192854,  272808000,   67199000,  248085166, java, iotlab1, mult, 25
entry_1125214.class,  6.76,  3.40,  3.31,  0.20,  0.00,  238798008,  274803000,   58112000,  251737722, java, iotlab1, mult, 25
entry_1125214.class,  6.92,  3.49,  3.41,  0.21,  0.00,  246408611,  272148000,   66279000,  259350913, java, iotlab1, mult, 25
entry_1125214.class,  6.87,  3.51,  3.43,  0.20,  0.00,  239096621,  267634000,   65154000,  251580019, java, iotlab1, mult, 25
entry_1125214.class,  6.97,  3.58,  3.49,  0.21,  0.00,  238611077,  283235000,   59838000,  251012846, java, iotlab1, mult, 25
entry_1125214.class,  6.78,  3.47,  3.39,  0.21,  0.00,  232317511,  253124000,   81396000,  244655332, java, iotlab1, mult, 25
entry_1125214.class,  6.81,  3.47,  3.39,  0.21,  0.00,  233104777,  267879000,   66206000,  245621822, java, iotlab1, mult, 25
entry_1129082.class,  5.83,  2.99,  2.91,  0.18,  0.00,  198701003,  221658000,   65489000,  211025524, java, iotlab1, mult, 25
entry_1129082.class,  5.97,  3.00,  2.93,  0.19,  0.00,  205390661,  239668000,   68053000,  218513539, java, iotlab1, mult, 25
entry_1129082.class,  5.90,  2.98,  2.92,  0.18,  0.00,  203843649,  225678000,   61816000,  216438149, java, iotlab1, mult, 25
entry_1129082.class,  6.06,  3.09,  3.02,  0.19,  0.00,  203425021,  233026000,   70403000,  215854444, java, iotlab1, mult, 25
entry_1129082.class,  6.08,  3.14,  3.07,  0.19,  0.00,  204178494,  233270000,   71851000,  216818257, java, iotlab1, mult, 25
entry_1129082.class,  6.02,  3.08,  3.01,  0.19,  0.00,  202007476,  231642000,   71506000,  214404356, java, iotlab1, mult, 25
entry_1129082.class,  5.87,  2.97,  2.90,  0.18,  0.00,  202272862,  219925000,   64978000,  214616151, java, iotlab1, mult, 25
entry_1129082.class,  6.05,  3.02,  2.94,  0.19,  0.00,  210027642,  226394000,   79089000,  223057221, java, iotlab1, mult, 25
entry_1129082.class,  6.01,  3.08,  3.00,  0.19,  0.00,  201392188,  237182000,   62783000,  213758955, java, iotlab1, mult, 25
entry_1129082.class,  5.98,  3.01,  2.94,  0.19,  0.00,  206834925,  231854000,   71183000,  219686178, java, iotlab1, mult, 25
entry_11498650.class,  5.07,  2.52,  2.46,  0.17,  0.00,  178742097,  182765000,   61595000,  191847249, java, iotlab1, mult, 25
entry_11498650.class,  5.07,  2.49,  2.42,  0.17,  0.00,  180250191,  176985000,   71397000,  193339188, java, iotlab1, mult, 25
entry_11498650.class,  5.01,  2.51,  2.45,  0.17,  0.00,  174190985,  185112000,   57414000,  187124112, java, iotlab1, mult, 25
entry_11498650.class,  4.89,  2.44,  2.37,  0.16,  0.00,  172502415,  166656000,   61872000,  185039717, java, iotlab1, mult, 25
entry_11498650.class,  4.89,  2.44,  2.38,  0.16,  0.00,  172495971,  165690000,   61884000,  184839323, java, iotlab1, mult, 25
entry_11498650.class,  5.01,  2.54,  2.47,  0.17,  0.00,  172998253,  177676000,   64244000,  185405792, java, iotlab1, mult, 25
entry_11498650.class,  4.92,  2.41,  2.35,  0.16,  0.00,  178148262,  173079000,   61027000,  191128857, java, iotlab1, mult, 25
entry_11498650.class,  4.85,  2.44,  2.37,  0.16,  0.00,  171570568,  163161000,   64244000,  184613058, java, iotlab1, mult, 25
entry_11498650.class,  5.25,  2.58,  2.51,  0.17,  0.00,  183660958,  175823000,   68541000,  196177327, java, iotlab1, mult, 25
entry_11498650.class,  4.98,  2.46,  2.40,  0.16,  0.00,  175857870,  170886000,   60254000,  188266900, java, iotlab1, mult, 25
entry_11579348.class,  6.32,  3.03,  2.95,  0.15,  0.00,  225115559,  228129000,   47442000,  237598639, java, iotlab1, mult, 25
entry_11579348.class,  6.03,  2.87,  2.80,  0.14,  0.00,  218954523,  210397000,   44507000,  231414096, java, iotlab1, mult, 25
entry_11579348.class,  6.06,  2.90,  2.84,  0.14,  0.00,  219548056,  219957000,   44395000,  232062809, java, iotlab1, mult, 25
entry_11579348.class,  6.01,  2.89,  2.82,  0.14,  0.00,  218301031,  216076000,   46230000,  230595929, java, iotlab1, mult, 25
entry_11579348.class,  6.08,  2.91,  2.85,  0.14,  0.00,  219727599,  217704000,   46509000,  232107892, java, iotlab1, mult, 25
entry_11579348.class,  5.79,  2.80,  2.74,  0.14,  0.00,  209133015,  198608000,   52369000,  221612101, java, iotlab1, mult, 25
entry_11579348.class,  5.85,  2.84,  2.78,  0.14,  0.00,  209410467,  216074000,   39013000,  221991257, java, iotlab1, mult, 25
entry_11579348.class,  6.00,  2.82,  2.75,  0.14,  0.00,  221893199,  209033000,   47779000,  234830497, java, iotlab1, mult, 25
entry_11579348.class,  6.14,  2.96,  2.88,  0.14,  0.00,  218593437,  229518000,   41372000,  231106310, java, iotlab1, mult, 25
entry_11579348.class,  6.09,  2.92,  2.85,  0.14,  0.00,  220248867,  215457000,   47879000,  232641476, java, iotlab1, mult, 25
