file,psys,pkg,cores,ram,gpu,duration_time,user_time,system_time,perf_time,lang,machine,cores,power_limit
10249193    ,  2.07,  0.89,  0.86,  0.07,  0.00,   97117918,   73124000,   11018000,  147157614, python, iotlab1, mult, 25
10249193    ,  1.87,  0.93,  0.91,  0.06,  0.00,   74417241,   58479000,   15858000,   86852450, python, iotlab1, mult, 25
10249193    ,  1.89,  0.93,  0.91,  0.06,  0.00,   74399570,   65351000,    9048000,   86713851, python, iotlab1, mult, 25
10249193    ,  1.95,  0.94,  0.91,  0.06,  0.00,   74266714,   60205000,   14047000,   86720461, python, iotlab1, mult, 25
10249193    ,  1.91,  0.93,  0.91,  0.06,  0.00,   74254336,   60368000,   13854000,   86590742, python, iotlab1, mult, 25
10249193    ,  1.97,  0.96,  0.92,  0.06,  0.00,   74293149,   62241000,   12046000,   86771306, python, iotlab1, mult, 25
10249193    ,  1.98,  0.95,  0.92,  0.06,  0.00,   74209451,   65163000,    9022000,   86585823, python, iotlab1, mult, 25
10249193    ,  1.94,  0.94,  0.92,  0.06,  0.00,   74138085,   61092000,   13019000,   86524794, python, iotlab1, mult, 25
10249193    ,  1.94,  0.93,  0.91,  0.06,  0.00,   74887134,   59887000,   14971000,   87271594, python, iotlab1, mult, 25
10249193    ,  2.02,  0.97,  0.94,  0.06,  0.00,   74911064,   62913000,   11983000,   87403252, python, iotlab1, mult, 25
10638788    ,  2.03,  0.90,  0.87,  0.06,  0.00,   89863936,   65382000,    9052000,  102198245, python, iotlab1, mult, 25
10638788    ,  1.82,  0.88,  0.86,  0.05,  0.00,   71419932,   57324000,   14079000,   83919012, python, iotlab1, mult, 25
10638788    ,  1.84,  0.89,  0.86,  0.05,  0.00,   70791861,   55807000,   14948000,   83265178, python, iotlab1, mult, 25
10638788    ,  1.84,  0.89,  0.87,  0.05,  0.00,   71213758,   58148000,   13033000,   83664484, python, iotlab1, mult, 25
10638788    ,  1.87,  0.90,  0.88,  0.05,  0.00,   71123707,   60079000,   11014000,   83515778, python, iotlab1, mult, 25
10638788    ,  1.85,  0.90,  0.88,  0.05,  0.00,   70914577,   58896000,   11978000,   83304320, python, iotlab1, mult, 25
10638788    ,  1.88,  0.91,  0.87,  0.05,  0.00,   71105048,   64072000,    7007000,   83498275, python, iotlab1, mult, 25
10638788    ,  1.87,  0.90,  0.87,  0.05,  0.00,   71072079,   56839000,   14209000,   83495859, python, iotlab1, mult, 25
10638788    ,  1.84,  0.89,  0.87,  0.05,  0.00,   70948731,   63930000,    6992000,   83296913, python, iotlab1, mult, 25
10638788    ,  1.86,  0.89,  0.86,  0.05,  0.00,   71628121,   60509000,   11093000,   84166664, python, iotlab1, mult, 25
10695078    ,  2.56,  1.21,  1.17,  0.09,  0.00,   98264527,   86021000,   12003000,  110777458, python, iotlab1, mult, 25
10695078    ,  2.50,  1.21,  1.17,  0.09,  0.00,   96901940,   81896000,   14981000,  109355991, python, iotlab1, mult, 25
10695078    ,  2.50,  1.21,  1.17,  0.09,  0.00,   97055747,   82003000,   15000000,  109484569, python, iotlab1, mult, 25
10695078    ,  2.52,  1.20,  1.16,  0.09,  0.00,   97647326,   87556000,   10064000,  109831581, python, iotlab1, mult, 25
10695078    ,  2.50,  1.21,  1.17,  0.09,  0.00,   97049661,   90030000,    7002000,  109600622, python, iotlab1, mult, 25
