file,psys,pkg,cores,ram,gpu,duration_time,user_time,system_time,perf_time,lang,machine,cores,power_limit
1022576.exe ,  0.93,  0.33,  0.32,  0.03,  0.00,   53921570,   39698000,    7125000,  116442660, c++, iotlab1, sing, 15
1022576.exe ,  0.79,  0.37,  0.37,  0.02,  0.00,   36312154,   32209000,    4026000,   48766149, c++, iotlab1, sing, 15
1022576.exe ,  0.80,  0.38,  0.37,  0.02,  0.00,   36939173,   34931000,    1996000,   49177962, c++, iotlab1, sing, 15
1022576.exe ,  0.77,  0.38,  0.37,  0.02,  0.00,   36214904,   34090000,    2005000,   48570379, c++, iotlab1, sing, 15
1022576.exe ,  0.82,  0.39,  0.37,  0.02,  0.00,   36242205,   34132000,    2007000,   48634734, c++, iotlab1, sing, 15
1022576.exe ,  0.81,  0.39,  0.37,  0.02,  0.00,   36304537,   34290000,    2017000,   48640955, c++, iotlab1, sing, 15
1022576.exe ,  0.78,  0.37,  0.36,  0.02,  0.00,   36640163,   32678000,    3961000,   48863165, c++, iotlab1, sing, 15
1022576.exe ,  0.79,  0.37,  0.36,  0.02,  0.00,   36905716,   33910000,    2992000,   49179558, c++, iotlab1, sing, 15
1022576.exe ,  0.78,  0.37,  0.36,  0.02,  0.00,   36166640,   31129000,    5020000,   48546459, c++, iotlab1, sing, 15
1022576.exe ,  0.77,  0.38,  0.37,  0.02,  0.00,   36315570,   33283000,    3025000,   48466280, c++, iotlab1, sing, 15
1086870.exe ,  2.67,  1.31,  1.28,  0.08,  0.00,  120702716,  111786000,    8982000,  133009317, c++, iotlab1, sing, 15
1086870.exe ,  2.71,  1.32,  1.28,  0.08,  0.00,  121472846,  114539000,    6971000,  133836718, c++, iotlab1, sing, 15
1086870.exe ,  2.71,  1.33,  1.29,  0.08,  0.00,  121770821,  116824000,    4992000,  134185141, c++, iotlab1, sing, 15
1086870.exe ,  2.70,  1.32,  1.28,  0.08,  0.00,  123742620,  117788000,    5989000,  136022384, c++, iotlab1, sing, 15
1086870.exe ,  2.67,  1.31,  1.26,  0.08,  0.00,  120682037,  112728000,    7980000,  132974626, c++, iotlab1, sing, 15
1086870.exe ,  2.75,  1.33,  1.29,  0.08,  0.00,  123403498,  117436000,    6022000,  135601388, c++, iotlab1, sing, 15
1086870.exe ,  2.64,  1.27,  1.24,  0.08,  0.00,  121619330,  113676000,    7977000,  133891637, c++, iotlab1, sing, 15
1086870.exe ,  2.67,  1.29,  1.26,  0.08,  0.00,  121084390,  114084000,    7005000,  133413152, c++, iotlab1, sing, 15
1086870.exe ,  2.73,  1.32,  1.28,  0.08,  0.00,  122336953,  116382000,    5968000,  134671971, c++, iotlab1, sing, 15
1086870.exe ,  2.66,  1.30,  1.26,  0.08,  0.00,  120698516,  113741000,    6984000,  133022674, c++, iotlab1, sing, 15
1122546.exe ,  2.60,  1.25,  1.21,  0.07,  0.00,  112733576,  110783000,    1996000,  125611891, c++, iotlab1, sing, 15
1122546.exe ,  2.49,  1.20,  1.18,  0.07,  0.00,  113422615,  109432000,    3979000,  125722072, c++, iotlab1, sing, 15
1122546.exe ,  2.59,  1.24,  1.20,  0.07,  0.00,  114272896,  109290000,    5013000,  126452443, c++, iotlab1, sing, 15
1122546.exe ,  2.45,  1.21,  1.18,  0.07,  0.00,  112242971,  109268000,    3007000,  124527243, c++, iotlab1, sing, 15
1122546.exe ,  2.51,  1.23,  1.20,  0.07,  0.00,  112843182,  109776000,    2993000,  125268602, c++, iotlab1, sing, 15
1122546.exe ,  2.57,  1.23,  1.20,  0.07,  0.00,  113224767,  108206000,    4963000,  125608469, c++, iotlab1, sing, 15
1122546.exe ,  2.54,  1.24,  1.20,  0.07,  0.00,  113760255,  106813000,    6987000,  126194322, c++, iotlab1, sing, 15
1122546.exe ,  2.49,  1.21,  1.17,  0.07,  0.00,  112801861,  109837000,    2995000,  125015681, c++, iotlab1, sing, 15
1122546.exe ,  2.50,  1.22,  1.18,  0.07,  0.00,  112730077,  106770000,    5987000,  124980876, c++, iotlab1, sing, 15
1122546.exe ,  2.52,  1.24,  1.21,  0.07,  0.00,  113421397,  106408000,    6961000,  125815440, c++, iotlab1, sing, 15
1172403.exe ,  2.51,  1.24,  1.20,  0.07,  0.00,  113969332,  106914000,    6994000,  126915993, c++, iotlab1, sing, 15
1172403.exe ,  2.49,  1.21,  1.18,  0.07,  0.00,  113253619,  110273000,    3007000,  125517306, c++, iotlab1, sing, 15
1172403.exe ,  2.51,  1.23,  1.19,  0.07,  0.00,  112559369,  103594000,    8964000,  124802501, c++, iotlab1, sing, 15
1172403.exe ,  2.49,  1.21,  1.17,  0.07,  0.00,  113084146,  110129000,    2976000,  125408491, c++, iotlab1, sing, 15
1172403.exe ,  2.49,  1.23,  1.20,  0.07,  0.00,  112623199,  106651000,    5980000,  124864373, c++, iotlab1, sing, 15
1172403.exe ,  2.51,  1.22,  1.18,  0.07,  0.00,  113456311,  110463000,    3012000,  125694948, c++, iotlab1, sing, 15
1172403.exe ,  2.72,  1.33,  1.29,  0.07,  0.00,  123238154,  118176000,    5007000,  135608888, c++, iotlab1, sing, 15
