file,psys,pkg,cores,ram,gpu,duration_time,user_time,system_time,perf_time,lang,machine,cores,power_limit
entry_10087832.class, 11.38,  6.01,  5.88,  0.38,  0.00,  331959362,  769158000,   57011000,  387412356, java, iotlab1, mult, 25
entry_10087832.class,  9.72,  5.38,  5.29,  0.31,  0.00,  265199837,  676164000,   53647000,  277628807, java, iotlab1, mult, 25
entry_10087832.class,  9.47,  5.39,  5.30,  0.30,  0.00,  244922121,  680326000,   34575000,  257224491, java, iotlab1, mult, 25
entry_10087832.class, 10.69,  6.03,  5.92,  0.35,  0.00,  280010066,  772822000,   62227000,  292376217, java, iotlab1, mult, 25
entry_10087832.class,  9.54,  5.44,  5.36,  0.30,  0.00,  246389145,  682683000,   42042000,  258700555, java, iotlab1, mult, 25
entry_10087832.class,  9.96,  5.62,  5.53,  0.31,  0.00,  263476779,  697467000,   40968000,  275882332, java, iotlab1, mult, 25
entry_10087832.class,  9.64,  5.40,  5.31,  0.30,  0.00,  255400117,  697483000,   41146000,  267750367, java, iotlab1, mult, 25
entry_10087832.class, 10.54,  5.86,  5.76,  0.35,  0.00,  280870194,  787167000,   54664000,  293222736, java, iotlab1, mult, 25
entry_10087832.class,  9.99,  5.59,  5.49,  0.31,  0.00,  267427456,  683451000,   44550000,  279792464, java, iotlab1, mult, 25
entry_10087832.class,  9.81,  5.52,  5.43,  0.30,  0.00,  258154796,  700005000,   37320000,  270503702, java, iotlab1, mult, 25
entry_10302070.class, 14.95,  8.15,  7.99,  0.49,  0.00,  411724340, 1054263000,   70688000,  423982481, java, iotlab1, mult, 25
entry_10302070.class, 15.09,  8.32,  8.16,  0.50,  0.00,  407101600, 1057648000,   56087000,  419605338, java, iotlab1, mult, 25
entry_10302070.class, 14.85,  8.13,  7.99,  0.50,  0.00,  401378564, 1073010000,   65061000,  415400379, java, iotlab1, mult, 25
entry_10302070.class, 14.48,  8.05,  7.91,  0.48,  0.00,  380811732, 1023249000,   72088000,  393699803, java, iotlab1, mult, 25
entry_10302070.class, 14.54,  8.01,  7.87,  0.48,  0.00,  389616992, 1051646000,   47663000,  401974874, java, iotlab1, mult, 25
entry_10302070.class, 14.56,  8.08,  7.93,  0.48,  0.00,  384235966, 1052153000,   57062000,  396645155, java, iotlab1, mult, 25
entry_10302070.class, 14.53,  8.09,  7.95,  0.48,  0.00,  384341822, 1060114000,   53510000,  397218085, java, iotlab1, mult, 25
entry_10302070.class, 14.61,  7.95,  7.80,  0.49,  0.00,  400162369, 1084117000,   55748000,  412683277, java, iotlab1, mult, 25
entry_10302070.class, 14.79,  8.27,  8.12,  0.49,  0.00,  386763115, 1074082000,   60228000,  399170384, java, iotlab1, mult, 25
entry_10302070.class, 15.50,  8.59,  8.44,  0.49,  0.00,  403343788, 1099677000,   58730000,  415722562, java, iotlab1, mult, 25
entry_10590829.class,  4.77,  2.44,  2.39,  0.15,  0.00,  149104745,  282137000,   34259000,  162016734, java, iotlab1, mult, 25
entry_10590829.class,  4.75,  2.48,  2.43,  0.15,  0.00,  145002573,  285286000,   24937000,  157869744, java, iotlab1, mult, 25
entry_10590829.class,  4.77,  2.59,  2.54,  0.14,  0.00,  137585889,  278149000,   32132000,  149977164, java, iotlab1, mult, 25
entry_10590829.class,  4.67,  2.51,  2.47,  0.14,  0.00,  135204693,  271290000,   36441000,  147538477, java, iotlab1, mult, 25
entry_10590829.class,  4.88,  2.54,  2.48,  0.15,  0.00,  150337724,  280197000,   33663000,  164383159, java, iotlab1, mult, 25
entry_10590829.class,  4.83,  2.56,  2.51,  0.15,  0.00,  145453953,  278766000,   28975000,  157816174, java, iotlab1, mult, 25
entry_10590829.class,  4.84,  2.55,  2.50,  0.15,  0.00,  145229065,  281630000,   25235000,  157684158, java, iotlab1, mult, 25
