file,psys,pkg,cores,ram,gpu,duration_time,user_time,system_time,perf_time,lang,machine,cores,power_limit
entry_10577006.class, 13.72,  7.36,  7.23,  0.39,  0.00,  396003687,  826257000,   65257000,  437580624, java, iotlab1, mult, 0
entry_10577006.class, 12.83,  7.40,  7.29,  0.35,  0.00,  325830472,  826064000,   58932000,  338114247, java, iotlab1, mult, 0
entry_10577006.class, 12.88,  7.39,  7.27,  0.35,  0.00,  328845303,  826892000,   56147000,  341274864, java, iotlab1, mult, 0
entry_10577006.class, 11.58,  6.49,  6.38,  0.31,  0.00,  312796039,  723278000,   32280000,  325698059, java, iotlab1, mult, 0
entry_10577006.class, 12.87,  7.42,  7.31,  0.35,  0.00,  326650640,  820034000,   71915000,  339024089, java, iotlab1, mult, 0
entry_10577006.class, 12.94,  7.43,  7.32,  0.35,  0.00,  326561709,  841550000,   44081000,  338886730, java, iotlab1, mult, 0
entry_10577006.class, 11.50,  6.47,  6.37,  0.31,  0.00,  306262025,  706640000,   37458000,  318699998, java, iotlab1, mult, 0
entry_10577006.class, 12.97,  7.49,  7.38,  0.35,  0.00,  325424224,  840700000,   49393000,  337772126, java, iotlab1, mult, 0
entry_10577006.class, 12.66,  7.34,  7.23,  0.35,  0.00,  316554047,  820762000,   51486000,  328958984, java, iotlab1, mult, 0
entry_10577006.class, 13.07,  7.38,  7.27,  0.36,  0.00,  340521376,  851236000,   57285000,  354874995, java, iotlab1, mult, 0
entry_10577037.class, 14.04,  8.07,  7.94,  0.39,  0.00,  355013799,  895931000,   61614000,  367699973, java, iotlab1, mult, 0
entry_10577037.class, 13.86,  7.90,  7.77,  0.38,  0.00,  355193396,  877975000,   68940000,  367956056, java, iotlab1, mult, 0
entry_10577037.class, 13.43,  7.69,  7.56,  0.38,  0.00,  336476932,  870379000,   50963000,  348972285, java, iotlab1, mult, 0
entry_10577037.class, 13.63,  7.68,  7.56,  0.38,  0.00,  357261976,  876603000,   49485000,  371040198, java, iotlab1, mult, 0
entry_10577037.class, 13.49,  7.69,  7.57,  0.37,  0.00,  342486763,  852696000,   55395000,  354789526, java, iotlab1, mult, 0
entry_10577037.class, 14.21,  8.13,  8.00,  0.39,  0.00,  356183839,  908346000,   61751000,  368546598, java, iotlab1, mult, 0
entry_10577037.class, 14.27,  8.15,  8.02,  0.39,  0.00,  358661741,  908979000,   57377000,  371125065, java, iotlab1, mult, 0
entry_10577037.class, 14.01,  7.95,  7.82,  0.38,  0.00,  358341212,  880261000,   57016000,  370775406, java, iotlab1, mult, 0
entry_10577037.class, 13.69,  7.79,  7.66,  0.38,  0.00,  346545886,  867170000,   59873000,  358804540, java, iotlab1, mult, 0
entry_10577037.class, 13.79,  7.90,  7.77,  0.38,  0.00,  346444636,  871759000,   64055000,  358677327, java, iotlab1, mult, 0
entry_1100559.class,  7.32,  3.95,  3.88,  0.20,  0.00,  206264087,  446652000,   43452000,  219533006, java, iotlab1, mult, 0
entry_1100559.class,  7.60,  4.18,  4.10,  0.21,  0.00,  207249047,  455961000,   36315000,  219664546, java, iotlab1, mult, 0
entry_1100559.class,  7.96,  4.41,  4.32,  0.21,  0.00,  212110042,  488369000,   30208000,  224458532, java, iotlab1, mult, 0
entry_1100559.class,  7.52,  4.07,  3.99,  0.20,  0.00,  208920844,  432562000,   36792000,  221376288, java, iotlab1, mult, 0
entry_1100559.class,  7.60,  4.19,  4.11,  0.21,  0.00,  206754578,  450784000,   41532000,  219302452, java, iotlab1, mult, 0
entry_1100559.class,  7.88,  4.38,  4.30,  0.21,  0.00,  208463204,  469823000,   44456000,  220891215, java, iotlab1, mult, 0
entry_1100559.class,  7.46,  4.12,  4.05,  0.20,  0.00,  202406997,  447555000,   39048000,  214901405, java, iotlab1, mult, 0
entry_1100559.class,  8.09,  4.44,  4.36,  0.21,  0.00,  223146061,  479103000,   37398000,  235586427, java, iotlab1, mult, 0
entry_1100559.class,  7.43,  4.10,  4.03,  0.20,  0.00,  201123725,  449973000,   33998000,  213510989, java, iotlab1, mult, 0
entry_1100559.class,  8.05,  4.44,  4.36,  0.21,  0.00,  219932738,  489422000,   30025000,  232477444, java, iotlab1, mult, 0
entry_11052688.class,  7.23,  3.81,  3.74,  0.19,  0.00,  215586688,  418215000,   36191000,  228203406, java, iotlab1, mult, 0
entry_11052688.class,  7.22,  3.96,  3.89,  0.18,  0.00,  199061933,  409215000,   40416000,  211454968, java, iotlab1, mult, 0
entry_11052688.class,  7.28,  3.91,  3.85,  0.18,  0.00,  208145014,  405284000,   33688000,  220517826, java, iotlab1, mult, 0
entry_11052688.class,  7.16,  3.86,  3.79,  0.18,  0.00,  205391840,  402134000,   28937000,  217944691, java, iotlab1, mult, 0
entry_11052688.class,  7.23,  3.92,  3.85,  0.18,  0.00,  207073633,  401825000,   35514000,  219535338, java, iotlab1, mult, 0
entry_11052688.class,  7.16,  3.92,  3.85,  0.18,  0.00,  199311853,  409850000,   29566000,  211681382, java, iotlab1, mult, 0
entry_11052688.class,  7.20,  3.93,  3.87,  0.18,  0.00,  199474723,  408737000,   37157000,  211750060, java, iotlab1, mult, 0
entry_11052688.class,  7.10,  3.85,  3.79,  0.18,  0.00,  203753216,  397022000,   37189000,  215960504, java, iotlab1, mult, 0
entry_11052688.class,  7.16,  3.87,  3.80,  0.18,  0.00,  203965691,  395292000,   38637000,  216355562, java, iotlab1, mult, 0
entry_11052688.class,  7.01,  3.83,  3.77,  0.17,  0.00,  195458504,  406262000,   25825000,  207871904, java, iotlab1, mult, 0
entry_11984044.class, 11.02,  5.95,  5.84,  0.26,  0.00,  307601467,  645683000,   81719000,  320227716, java, iotlab1, mult, 0
entry_11984044.class, 10.99,  6.07,  5.98,  0.25,  0.00,  296369994,  636542000,   69058000,  308953043, java, iotlab1, mult, 0
entry_11984044.class, 11.29,  6.22,  6.13,  0.26,  0.00,  306168547,  642600000,   71066000,  318678785, java, iotlab1, mult, 0
entry_11984044.class, 11.09,  6.17,  6.08,  0.26,  0.00,  296756177,  649556000,   63151000,  309236458, java, iotlab1, mult, 0
entry_11984044.class, 11.30,  6.29,  6.19,  0.26,  0.00,  306267199,  635122000,   84415000,  318827604, java, iotlab1, mult, 0
entry_11984044.class, 11.05,  6.10,  6.00,  0.26,  0.00,  298951032,  637844000,   64286000,  311371389, java, iotlab1, mult, 0
entry_11984044.class, 10.90,  5.96,  5.85,  0.25,  0.00,  300650616,  610902000,   68663000,  312976495, java, iotlab1, mult, 0
entry_11984044.class, 11.30,  6.25,  6.15,  0.26,  0.00,  305403232,  640819000,   79977000,  317975843, java, iotlab1, mult, 0
entry_11984044.class, 11.21,  6.21,  6.10,  0.26,  0.00,  301551021,  641054000,   73349000,  314158581, java, iotlab1, mult, 0
entry_11984044.class, 11.42,  6.28,  6.17,  0.26,  0.00,  311914734,  646673000,   72524000,  324439290, java, iotlab1, mult, 0
entry_12012289.class, 11.71,  6.45,  6.34,  0.32,  0.00,  309911540,  719171000,   58420000,  322799713, java, iotlab1, mult, 0
entry_12012289.class, 11.90,  6.66,  6.55,  0.32,  0.00,  308297965,  725170000,   49079000,  320698757, java, iotlab1, mult, 0
entry_12012289.class, 13.20,  7.37,  7.25,  0.38,  0.00,  332556718,  835920000,   57199000,  344945094, java, iotlab1, mult, 0
entry_12012289.class, 12.69,  7.04,  6.93,  0.37,  0.00,  328205657,  847304000,   63171000,  345687653, java, iotlab1, mult, 0
entry_12012289.class, 12.62,  7.11,  6.99,  0.37,  0.00,  312724893,  830757000,   41286000,  325042259, java, iotlab1, mult, 0
entry_12012289.class, 11.62,  6.52,  6.42,  0.31,  0.00,  295073486,  717215000,   48014000,  307464354, java, iotlab1, mult, 0
entry_12012289.class, 11.26,  6.27,  6.16,  0.30,  0.00,  294457036,  679251000,   49750000,  306834600, java, iotlab1, mult, 0
entry_12012289.class, 12.48,  7.09,  6.98,  0.35,  0.00,  306260464,  808268000,   52017000,  318787667, java, iotlab1, mult, 0
