file,psys,pkg,cores,ram,gpu,duration_time,user_time,system_time,perf_time,lang,machine,cores,power_limit
1536382.exe ,  5.17,  0.81,  0.67,  0.25,  0.00,  410005026,  332638000,   28881000,  481353174, c++, iotlab1, sing, 2
1536382.exe ,  4.69,  0.74,  0.63,  0.23,  0.00,  376766057,  351632000,   25045000,  405293731, c++, iotlab1, sing, 2
1536382.exe ,  4.56,  0.74,  0.63,  0.23,  0.00,  379251563,  353138000,   26010000,  409261551, c++, iotlab1, sing, 2
1536382.exe ,  4.54,  0.74,  0.62,  0.23,  0.00,  374649464,  345578000,   28964000,  404335806, c++, iotlab1, sing, 2
1536382.exe ,  4.61,  0.75,  0.64,  0.23,  0.00,  382451168,  352408000,   29949000,  412036746, c++, iotlab1, sing, 2
1536382.exe ,  4.58,  0.75,  0.63,  0.23,  0.00,  380344842,  355239000,   25016000,  409416116, c++, iotlab1, sing, 2
1536382.exe ,  4.57,  0.75,  0.63,  0.23,  0.00,  380109964,  352991000,   26999000,  409833688, c++, iotlab1, sing, 2
1536382.exe ,  4.64,  0.76,  0.65,  0.23,  0.00,  387820221,  364690000,   23043000,  418173661, c++, iotlab1, sing, 2
1536382.exe ,  4.78,  0.76,  0.64,  0.24,  0.00,  386583581,  363470000,   23029000,  417099665, c++, iotlab1, sing, 2
1536382.exe ,  4.64,  0.75,  0.64,  0.23,  0.00,  384119819,  357086000,   26931000,  414359339, c++, iotlab1, sing, 2
1578979.exe , 13.55,  2.24,  1.90,  0.59,  0.00, 1138005929, 1036872000,  100890000, 1168010422, c++, iotlab1, sing, 2
1578979.exe , 14.06,  2.26,  1.92,  0.60,  0.00, 1152157676, 1062889000,   88907000, 1181609829, c++, iotlab1, sing, 2
1578979.exe , 13.87,  2.28,  1.94,  0.61,  0.00, 1161711918, 1083457000,   77960000, 1192223838, c++, iotlab1, sing, 2
1578979.exe , 14.01,  2.30,  1.95,  0.61,  0.00, 1169412908, 1069084000,  100007000, 1199224123, c++, iotlab1, sing, 2
