file,psys,pkg,cores,ram,gpu,duration_time,user_time,system_time,perf_time,lang,machine,cores,power_limit
entry_10235698.class, 10.65,  5.02,  4.89,  0.34,  0.00,  382071037,  475681000,   42881000,  436025894, java, iotlab1, mult, 0
entry_10235698.class,  9.47,  4.87,  4.77,  0.29,  0.00,  293831977,  474397000,   33097000,  306038321, java, iotlab1, mult, 0
entry_10235698.class,  9.44,  4.90,  4.81,  0.29,  0.00,  296784002,  457718000,   49401000,  309124189, java, iotlab1, mult, 0
entry_10235698.class,  9.56,  4.94,  4.83,  0.29,  0.00,  295242383,  475683000,   36897000,  307651428, java, iotlab1, mult, 0
entry_10235698.class,  9.49,  4.93,  4.83,  0.29,  0.00,  295975125,  477891000,   33710000,  308371893, java, iotlab1, mult, 0
entry_10235698.class,  9.41,  4.90,  4.80,  0.29,  0.00,  297689113,  476542000,   38638000,  310750149, java, iotlab1, mult, 0
entry_10235698.class,  9.56,  4.90,  4.79,  0.29,  0.00,  294431692,  471596000,   39215000,  307073629, java, iotlab1, mult, 0
entry_10235698.class,  9.42,  4.89,  4.80,  0.29,  0.00,  296714631,  473576000,   34331000,  309088499, java, iotlab1, mult, 0
entry_10235698.class,  9.49,  4.87,  4.77,  0.29,  0.00,  293966164,  470385000,   39536000,  306267568, java, iotlab1, mult, 0
entry_10235698.class,  9.41,  4.82,  4.73,  0.28,  0.00,  292238032,  465238000,   41050000,  304803346, java, iotlab1, mult, 0
entry_10699701.class, 10.28,  4.98,  4.86,  0.34,  0.00,  343123608,  393893000,   83400000,  355487043, java, iotlab1, mult, 0
entry_10699701.class, 10.24,  4.94,  4.82,  0.34,  0.00,  341884571,  387814000,   88501000,  354345907, java, iotlab1, mult, 0
entry_10699701.class, 10.13,  4.92,  4.79,  0.35,  0.00,  347814004,  393020000,   89689000,  360656000, java, iotlab1, mult, 0
entry_10699701.class, 10.19,  4.97,  4.84,  0.34,  0.00,  344084884,  401213000,   78041000,  356397062, java, iotlab1, mult, 0
