file,psys,pkg,cores,ram,gpu,duration_time,user_time,system_time,perf_time,lang,machine,cores,power_limit
1489349.exe ,  3.58,  0.61,  0.52,  0.15,  0.00,  298581837,  292643000,    1005000,  369369726, c++, iotlab1, sing, 2
1489349.exe ,  3.65,  0.59,  0.50,  0.15,  0.00,  300660952,  301339000,    1004000,  330161870, c++, iotlab1, sing, 2
1489349.exe ,  3.60,  0.59,  0.50,  0.15,  0.00,  298151554,  297708000,    2011000,  328353494, c++, iotlab1, sing, 2
1489349.exe ,  3.61,  0.59,  0.50,  0.15,  0.00,  299772087,  299267000,    2015000,  329915909, c++, iotlab1, sing, 2
1489349.exe ,  3.60,  0.59,  0.50,  0.15,  0.00,  299325474,  297671000,    3006000,  328853649, c++, iotlab1, sing, 2
1489349.exe ,  3.68,  0.61,  0.51,  0.16,  0.00,  306567924,  305021000,    3020000,  336746218, c++, iotlab1, sing, 2
1489349.exe ,  3.64,  0.60,  0.51,  0.15,  0.00,  304051851,  303550000,    2010000,  333159974, c++, iotlab1, sing, 2
1489349.exe ,  3.60,  0.59,  0.50,  0.15,  0.00,  299644691,  299028000,    2013000,  329495149, c++, iotlab1, sing, 2
1489349.exe ,  3.55,  0.58,  0.49,  0.15,  0.00,  293541658,  291903000,    3009000,  323160314, c++, iotlab1, sing, 2
1489349.exe ,  3.58,  0.59,  0.50,  0.15,  0.00,  296891874,  295271000,    3002000,  325556236, c++, iotlab1, sing, 2
1519241.exe ,  6.24,  1.02,  0.87,  0.26,  0.00,  518543986,  519484000,    1004000,  548433536, c++, iotlab1, sing, 2
1519241.exe ,  6.29,  1.03,  0.87,  0.26,  0.00,  519764952,  520517000,    1004000,  549912284, c++, iotlab1, sing, 2
1519241.exe ,  6.18,  1.01,  0.86,  0.26,  0.00,  512730339,  513512000,    1002000,  541542011, c++, iotlab1, sing, 2
1519241.exe ,  6.22,  1.02,  0.86,  0.26,  0.00,  516401754,  517098000,    1004000,  545394933, c++, iotlab1, sing, 2
1519241.exe ,  6.31,  1.02,  0.86,  0.26,  0.00,  518060780,  516496000,    3008000,  547770551, c++, iotlab1, sing, 2
1519241.exe ,  6.21,  1.02,  0.86,  0.26,  0.00,  515633903,  515130000,    2004000,  545506173, c++, iotlab1, sing, 2
1519241.exe ,  6.17,  1.01,  0.86,  0.26,  0.00,  512692978,  513233000,    1002000,  542195981, c++, iotlab1, sing, 2
1519241.exe ,  6.07,  0.99,  0.84,  0.25,  0.00,  501392266,  499859000,    3005000,  530591669, c++, iotlab1, sing, 2
1519241.exe ,  6.23,  1.02,  0.86,  0.26,  0.00,  516185728,  514672000,    3003000,  545479735, c++, iotlab1, sing, 2
1519241.exe ,  6.22,  1.01,  0.85,  0.26,  0.00,  511241496,  511625000,    1003000,  540302619, c++, iotlab1, sing, 2
1520788.exe ,  3.58,  0.58,  0.50,  0.15,  0.00,  296667504,  294301000,    3013000,  325444416, c++, iotlab1, sing, 2
1520788.exe ,  3.65,  0.59,  0.50,  0.15,  0.00,  302147344,  301730000,    1002000,  331252770, c++, iotlab1, sing, 2
1520788.exe ,  3.65,  0.59,  0.50,  0.15,  0.00,  303321610,  301023000,    3000000,  332851420, c++, iotlab1, sing, 2
1520788.exe ,  3.70,  0.60,  0.51,  0.16,  0.00,  307814098,  305514000,    3005000,  337315803, c++, iotlab1, sing, 2
1520788.exe ,  3.71,  0.60,  0.51,  0.16,  0.00,  307669484,  306357000,    2008000,  337391696, c++, iotlab1, sing, 2
1520788.exe ,  3.60,  0.58,  0.50,  0.15,  0.00,  297754135,  294442000,    3992000,  326656102, c++, iotlab1, sing, 2
1520788.exe ,  3.65,  0.60,  0.51,  0.15,  0.00,  303860086,  304466000,          0,  333329994, c++, iotlab1, sing, 2
1520788.exe ,  3.70,  0.60,  0.51,  0.16,  0.00,  306976259,  305624000,    2004000,  336288645, c++, iotlab1, sing, 2
1520788.exe ,  3.66,  0.59,  0.50,  0.15,  0.00,  302065305,  301660000,    1002000,  330591946, c++, iotlab1, sing, 2
1520788.exe ,  3.68,  0.60,  0.50,  0.15,  0.00,  303328319,  300950000,    2999000,  331993635, c++, iotlab1, sing, 2
1599310.exe ,  2.09,  0.34,  0.29,  0.09,  0.00,  173773399,  174035000,          0,  202932846, c++, iotlab1, sing, 2
1599310.exe ,  2.09,  0.34,  0.29,  0.09,  0.00,  173228273,  171588000,    1995000,  201531987, c++, iotlab1, sing, 2
